분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
천문,1-2) 우주의 탄생,B. 우주론,A1,하,인라인,우주의 팽창 속도를 측정한 결과를 정리한 설명입니다. 빈칸에 들어갈 말을 고르세요.,2,3,우주 상수/허블 상수/상태 방정식 w,암흑 물질의 분포/원소 비율/우주 배경 복사,,,,,"우주의 팽창 속도를 나타내는 [1]은(는) 측정 방법에 따라 값이 다르게 나온다. [2]에서 계산한 값은 1메가파섹당 초속 약 67킬로미터이고, 세페이드 변광성과 Ia형 초신성으로 계산한 값은 약 73킬로미터다.",허블 상수는 우주가 얼마나 빠르게 팽창하는지 알려 주는 값이에요. 우주 배경 복사로 계산한 값과 세페이드 변광성으로 계산한 값이 서로 어긋나 있어요. 그래서 표준 모형을 어딘가 손봐야 한다는 신호로 읽히고 있어요.
,,,A2,하,OX,"암흑 에너지는 공간 곳곳에 존재하며, 팽창이 진행될수록 물질과 복사에 비해 상대적 비중이 작아진다.",X,,O,X,,,,,-,팽창이 진행될수록 암흑 에너지의 상대적 비중은 오히려 커져요. 암흑 에너지가 공간 곳곳에 존재하기 때문이에요. 그래서 물질과 복사에 비해 점점 더 큰 몫을 차지하게 돼요.
,,,A3,중,사지선다 (단수),우주 상수에 대한 설명으로 알맞은 것을 고르세요.,2,,"우주의 팽창 속도를 나타내는 값으로, 측정 방법에 따라 다르게 나온다.","아인슈타인의 방정식에 있던 항으로, 암흑 에너지의 유력한 후보로 꼽힌다.",1998년 초신성 관측으로 존재가 직접 확인된 새로운 입자다.,암흑 에너지의 압력과 에너지 밀도의 관계를 나타내는 숫자다.,,,-,우주 상수는 아인슈타인의 방정식에 들어 있던 항이에요. 한때 최대 실수로 알려졌지만 지금은 암흑 에너지의 유력한 후보로 다시 주목받고 있어요. 틀렸다고 여겨진 한 줄이 우주의 절반 이상을 설명하는 자리로 돌아온 셈이죠.
,,,A4,중-상,순서배열,다음 문장은 우주의 가속 팽창이 밝혀지는 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,나-라-가-다,,먼 Ia형 초신성의 관측 자료에서 우주가 점점 더 빨리 팽창한다는 결론이 나왔다.,중력이 작용하는 한 우주의 팽창 속도가 시간이 지날수록 조금씩 줄어들 것이라고 과학자들이 예상했다.,"2011년, 가속 팽창을 밝혀낸 솔 펄머터·브라이언 슈미트·애덤 리스가 노벨 물리학상을 받았다.","1998년, 두 국제 공동 연구팀이 우주의 팽창이 얼마나 느려지는지 측정하려고 먼 Ia형 초신성을 관측했다.",,,-,1998년 두 연구팀의 목표는 팽창이 얼마나 느려지는지 재는 것이었어요. 관측 결과는 정반대로 가속 팽창이었죠. 이 발견을 이끈 세 사람은 2011년 노벨 물리학상을 받았어요.
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,유령 에너지,,,,,,,,한 가설은 암흑 에너지의 밀어내는 힘이 시간이 지날수록 더 강해진다고 본다. 이처럼 시간이 갈수록 강해지는 암흑 에너지를 __ ___(이)라고 부른다.,유령 에너지는 시간이 갈수록 밀어내는 힘이 강해지는 암흑 에너지를 가리켜요. 상태 방정식 w가 -1보다 작은 경우에 해당해요. 이 경우 팽창이 폭주하는 빅 립으로 이어질 수 있어요.
,,,A6,중,사지선다 (복수),우주를 이루는 성분에 대한 설명으로 알맞은 것을 모두 고르세요.,1,2,암흑 에너지는 우주 전체 에너지에서 가장 큰 비중을 차지한다.,암흑 물질은 보통 물질보다 훨씬 큰 비중을 차지한다.,별과 행성을 이루는 보통 물질이 우주 전체의 절반을 넘는다.,우주를 이루는 성분은 대부분 정체가 밝혀져 있다.,,,-,"암흑 에너지가 약 68퍼센트, 암흑 물질이 약 27퍼센트예요. 우리가 별과 행성에서 만나는 보통 물질은 약 5퍼센트뿐이죠. 지구에서 자연이라 부르는 것들이 우주 전체로 보면 아주 적은 몫이에요."
,,,A7,중-상,순서배열,다음 문장은 빅 립 시나리오에서 우주에 일어나는 일을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-가-라-나,,우주의 팽창이 폭주하면서 공간이 점점 더 빠르게 늘어난다.,물질을 이루는 원자의 결합마저 남지 않고 갈라진다.,암흑 에너지의 상태 방정식 w가 -1보다 작아 밀어내는 힘이 점점 강해진다.,중력으로 묶여 있던 은하가 찢어지고 항성계가 흩어진다.,,,-,빅 립은 암흑 에너지가 시간이 갈수록 강해질 때 그려지는 결말이에요. 팽창이 폭주하면 느슨하게 묶인 큰 구조부터 풀려요. 은하와 항성계를 지나 원자의 결합까지 갈라질 수 있어요.
,,,B1,하,인라인,1998년에 이루어진 초신성 관측의 결과를 정리한 설명입니다. 빈칸에 들어갈 말을 고르세요.,2,3,감속 팽창/가속 팽창/정지 상태,암흑 물질/보통 물질/암흑 에너지,,,,,"1998년, 두 연구팀은 우주의 팽창이 얼마나 느려지는지 측정하려 했다. 그런데 관측 결과는 정반대였고, 우주가 점점 더 빨리 팽창하는 [1]이(가) 확인되었다. 이 가속을 끌고 가는 정체불명의 에너지를 [2](이)라고 부른다.",두 연구팀은 팽창이 느려지는 정도를 재려고 했지만 결과는 정반대였어요. 우주가 점점 더 빨리 팽창한다는 사실이 드러났죠. 그 가속을 끌고 가는 정체불명의 에너지에 암흑 에너지라는 이름이 붙었어요.
,,,B2,하,OX,"우리 우주가 평탄한 우주라는 점이 확인되었으므로, 우주가 빅 프리즈, 빅 립, 빅 크런치 가운데 어느 결말로 향하는지도 알 수 있다.",X,,O,X,,,,,-,"우리가 평탄한 우주에 살고 있다는 사실은 확인했어요. 그런데 결말을 가르는 것은 공간의 기하가 아니에요. 암흑 에너지의 성질, 곧 상태 방정식 w가 세 갈래를 나눈답니다."
,,,B3,중,사지선다 (단수),허블 상수가 1메가파섹당 초속 약 67킬로미터라는 값의 뜻으로 알맞은 것을 고르세요.,1,,은하까지의 거리가 1메가파섹 멀어질 때마다 후퇴 속도가 초속 약 67킬로미터 커진다.,은하가 1메가파섹을 이동하는 데 걸리는 시간이 약 67초로 일정하다는 뜻이다.,우주가 팽창을 시작한 뒤 흐른 시간을 초속 단위로 바꾸어 나타낸 값이다.,은하의 후퇴 속도가 거리와 관계없이 초속 약 67킬로미터로 일정하다는 뜻이다.,,,-,"허블 상수는 거리와 후퇴 속도의 관계를 알려 주는 값이에요. 은하까지의 거리가 1메가파섹, 곧 약 326만 광년 멀어질 때마다 후퇴 속도가 그만큼 더 커진다는 뜻이죠. 그래서 멀리 있는 은하일수록 더 빠르게 멀어지는 것으로 측정돼요."
