분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,4-1) 운동과 힘,A. 동역학,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,4-1) 운동과 힘,B. 천체역학,1,하,인라인,행성마다 궤도가 찌그러진 정도는 서로 다릅니다. 빈칸에 들어갈 알맞은 말을 고르세요.,2,1,장반경/이심률/공전 주기,길쭉하다/둥글다/일정하다,,,,,"행성의 궤도가 얼마나 찌그러졌는지는 [1](이)라는 값으로 나타내며, 이 값이 0이면 완벽한 원이다. 수성은 지구보다 이 값이 커서, 수성의 궤도가 지구보다 더 [2].","이심률은 궤도가 얼마나 찌그러졌는지를 나타내는 값이에요. 0이면 완벽한 원이고, 1에 가까울수록 길쭉한 타원이 돼요. 지구는 약 0.017로 거의 원에 가깝지만 수성은 약 0.206이라 훨씬 찌그러진 궤도를 돌아요."
,,,2,하,OX,만유인력은 두 물체 사이의 거리가 두 배로 멀어지면 그 크기가 절반으로 줄어든다.,X,,O,X,,,,,-,"중력은 거리의 제곱에 반비례해요. 그래서 거리가 두 배가 되면 절반이 아니라 4분의 1로, 세 배가 되면 9분의 1로 줄어들어요. 다만 아무리 멀어져도 완전히 사라지지는 않아요."
,,,3,중,사지선다 (단수),달은 언제나 같은 면만 지구를 향하고 있습니다. 그 까닭으로 옳은 것은 무엇인가요?,3,,달의 궤도가 완벽한 원이어서 지구와의 거리가 변하지 않기 때문,달이 오래전에 자전을 멈추고 공전만 이어 가고 있기 때문,지구의 조석력이 달의 자전을 늦춰 자전 주기가 공전 주기와 같아졌기 때문,달의 질량이 작아 지구의 중력에 그대로 끌려다니고 있기 때문,,,-,"중력이 거리에 따라 달라지기 때문에 달의 가까운 쪽과 먼 쪽이 받는 힘에 차이가 생기는데, 이 차이가 조석력이에요. 지구의 조석력은 수십억 년 동안 달의 자전을 조금씩 늦춰 자전 주기와 공전 주기를 일치시켰어요. 이렇게 두 주기가 같아진 상태를 동주기 자전이라고 해요."
,,,4,중-상,순서배열,다음 문장은 행성의 궤도가 타원이라는 사실이 밝혀지고 그 까닭까지 설명되기까지의 과정입니다. 사건이 일어난 순서대로 배열하세요.,나-라-다-가,,뉴턴이 만유인력의 법칙에서 행성 운동의 세 법칙을 수학적으로 도출한다,브라헤가 평생에 걸쳐 가장 정확한 화성 관측 자료를 남긴다,케플러가 화성의 궤도를 타원으로 결론짓고 행성 운동의 세 법칙을 정리한다,화성의 관측 자료가 원 궤도를 전제한 계산과 맞지 않는다는 사실이 드러난다,,,-,튀코 브라헤가 남긴 정밀한 화성 관측 자료가 있었기에 원 궤도 가정이 맞지 않는다는 것을 확인할 수 있었어요. 요하네스 케플러는 그 어긋남을 붙들고 계산한 끝에 타원 궤도를 찾아내 세 법칙을 정리했고요. 그 법칙이 왜 성립하는지는 70여 년 뒤 아이작 뉴턴이 만유인력 하나로 이끌어 냈어요.
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,라그랑주점,,,,,,,,"태양과 지구가 함께 만드는 중력과, 공전에 따른 원심 효과가 정확히 균형을 이루는 지점이 다섯 곳 있다. 그중 하나인 L2에는 제임스 웹 우주 망원경이 자리 잡고 있다. 이런 지점을 _____(이)라고 한다.",라그랑주점은 두 천체의 중력과 공전에 따른 원심 효과가 균형을 이루는 지점이에요. 태양과 지구가 만드는 이런 지점은 다섯 곳이 있어요. 목성 앞뒤 60도인 L4와 L5에 수만 개의 소행성이 머무는 트로이군도 같은 원리로 안정하게 자리를 지켜요.
,,,6,중,사지선다 (복수),세 천체가 서로 중력을 주고받는 삼체 문제에 대한 설명으로 옳은 것을 모두 고르세요.,2,4,뉴턴의 중력 법칙이 세 천체 사이에는 적용되지 않는다,세 천체의 운동을 나타내는 방정식에는 일반적인 해석해가 없다,두 천체 사이의 운동도 수학적으로 정확하게 풀어낼 수 없다,초기 조건의 아주 미세한 차이가 먼 훗날 전혀 다른 궤도로 이어질 수 있다,,,-,"두 천체의 운동은 수학적으로 정확하게 풀 수 있지만, 세 번째 천체가 끼어드는 순간 일반적인 해석해가 사라져요. 아이작 뉴턴의 법칙이 틀린 것이 아니라 방정식 안에 예측 불가능성이 들어 있는 거예요. 초기 조건에 민감하게 의존하는 이 성질이 바로 카오스랍니다."
,,,7,중-상,순서배열,다음 문장은 목성의 위성 이오에서 활발한 화산 활동이 일어나는 이유를 설명한 것입니다. 설명의 흐름에 맞게 배열하세요.,나-다-가-라,,이오 내부에서 조석열이 지속적으로 발생한다,"이오, 유로파, 가니메데의 공전 주기가 정수비를 이룬다",이오의 궤도가 원에 가까워지지 않고 타원 상태로 유지된다,태양계에서 가장 활발한 화산 활동이 이오에서 일어난다,,,-,"이오, 유로파, 가니메데의 공전 주기가 1:2:4로 맞아떨어지는 궤도 공명 덕분에 이오의 궤도는 찌그러진 상태로 유지돼요. 그 때문에 이오 내부에 조석열이 계속 발생하고요. 그 열이 태양계에서 가장 활발한 화산 활동을 일으킨답니다."
물리,4-2) 유체의 흐름,유체역학,1,하,인라인,비행기 날개 주변에서 일어나는 일을 설명한 것입니다. 빈칸에 알맞은 말을 고르세요.,1,2,압력/밀도/점성,항력/양력/부력,,,,,"다니엘 베르누이는 이상적인 흐름에서 유체의 속도가 빨라질수록 [1]이(가) 낮아진다는 것을 밝혔다. 날개 위쪽을 지나는 공기는 아래쪽보다 빠르게 흐르는데, 이렇게 생긴 위아래의 차이가 날개를 위로 밀어 올리는 힘을 만든다. 이 힘을 [2](이)라고 한다.",베르누이 정리는 에너지 보존을 흐름의 언어로 바꾼 것이에요. 속도가 빨라지면 운동 에너지가 커지는 대신 압력 에너지가 줄어들죠. 날개 위아래의 압력 차가 만드는 위쪽 방향의 힘이 바로 양력이에요.
,,,2,하,OX,점성이 큰 유체일수록 흐름이 쉽게 흐트러져 난류가 되기 쉽다.,X,,O,X,,,,,-,점성은 유체의 내부 저항이라 흐름을 붙들어 주는 쪽으로 작용해요. 그래서 점성이 크면 흐름이 쉽게 흐트러지지 않아요. 난류가 되기 쉬운 쪽은 오히려 점성이 작고 속도가 빠르며 흐름의 규모가 클 때랍니다.
