분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
지구환경,6-4) 대기와 날씨,B. 대기의 순환,A1,하,인라인,다음은 지구 규모의 바람이 휘어져 부는 까닭을 설명한 것입니다. 빈칸에 알맞은 말을 고르세요.,2,3,기압/전향력/용승,편서풍/제트류/무역풍,,,,,"지구가 자전하기 때문에 북반구에서 이동하는 공기는 오른쪽으로 휘는데, 이러한 겉보기 효과를 [1](이)라고 한다. 해들리 순환의 지표 흐름도 오른쪽으로 휘면서 적도 쪽으로 부는데, 이 바람을 [2](이)라고 한다.",지구 자전 때문에 나타나는 겉보기 효과가 전향력이에요. 북반구에서 적도 쪽으로 내려가던 공기가 오른쪽으로 휘면서 북동 무역풍이 되죠. 남반구에서는 왼쪽으로 휘어 남동 무역풍이 불어요.
,,,A2,하,OX,제트류는 남북 간의 온도 차이가 클수록 강해진다.,O,,O,X,,,,,-,제트류는 남북 간 온도 차이를 동력으로 삼는 강한 편서풍의 띠예요. 온도 차가 클수록 더 빠르게 흘러 최대 풍속이 시속 400킬로미터를 넘기도 해요. 그래서 북극이 따뜻해져 온도 차가 줄면 제트류가 달라질 수 있다는 논의가 이어지고 있어요.
,,,A3,중,사지선다 (단수),중위도에도 대기 순환의 셀이 하나 형성됩니다. 이 순환의 특징으로 알맞은 것을 고르세요.,2,,적도와 극지방의 온도 차이로 직접 일어나는 순환이다.,해들리 순환과 극순환이 맞닿는 곳에서 간접적으로 형성된다.,적도에서 상승한 공기가 극지방까지 곧장 이동하는 순환이다.,대륙과 해양의 가열 속도 차이로 계절마다 방향이 바뀐다.,,,-,중위도의 페렐 순환은 해들리 순환과 극순환 사이에서 간접적으로 형성돼요. 온도 차이로 직접 일어나는 두 순환과는 성격이 다르죠. 이 세 순환 셀이 지구 전체의 에너지와 수분 분포를 결정해요.
,,,A4,중-상,순서배열,다음 문장은 위도 30도 부근에 큰 사막이 자리하는 이유를 설명한 것입니다. 설명의 흐름에 맞게 배열하세요.,나-라-가-다,,북위 약 30도 부근에서 공기가 하강하며 아열대 고압대가 형성된다.,적도 지방은 태양 복사 에너지를 많이 받아 공기가 뜨거워진다.,아열대 고압대 아래의 지표는 강수량이 적어 사막이 자리한다.,뜨거워진 적도 부근의 공기가 상승해 고위도 쪽으로 이동한다.,,,-,"적도에서 데워진 공기가 상승해 고위도로 이동하다가 위도 30도 부근에서 하강해요. 공기가 하강하는 이 위도대에 아열대 고압대가 형성되고, 그 아래 지표는 강수량이 적어요. 사하라와 아라비아, 오스트레일리아 중부의 사막이 모두 이 위도대에 자리해요."
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,라니냐,,,,,,,,태평양의 무역풍과 동태평양의 용승이 평상시보다 강해지면 동태평양 해수면이 더욱 차가워진다. 엘니뇨와 번갈아 나타나는 이 차가운 국면을 ___(이)라고 한다.,라니냐는 엘니뇨와 반대되는 국면이에요. 무역풍과 동태평양의 용승이 평상시보다 강해져 바다 표면이 더 차가워지죠. 엘니뇨와 라니냐는 번갈아 나타나며 전 세계 기후 변동을 이끌어요.
,,,A6,중,사지선다 (복수),지구 규모의 대기 순환에 대한 설명으로 옳은 것을 모두 고르세요.,2,3,지구의 대기 순환은 대류권을 벗어난 높은 곳에서만 일어난다.,적도와 극지방이 받는 태양 복사 에너지의 불균형이 순환을 일으킨다.,대류권에서 공기가 수평과 수직으로 순환하며 열을 재분배한다.,적도와 극지방의 기온 차이가 사라져야 대기 순환이 시작된다.,,,-,"적도는 태양 복사 에너지를 많이 받고 극지방은 적게 받아요. 이 불균형이 지구 규모의 대기 순환을 일으키고, 공기는 대류권 전체에서 수평과 수직으로 움직이며 열을 재분배해요. 기온 차이가 이어지는 한 순환도 계속돼요."
,,,A7,중-상,순서배열,다음 문장은 엘니뇨가 진행되는 과정을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-나-라-가,,"전 세계 강수 패턴이 바뀌어 페루에 폭우가, 호주에 가뭄이 나타난다.",엘니뇨가 발생하면 서쪽으로 불던 무역풍이 약해지거나 방향이 뒤집힌다.,평상시 태평양에서 무역풍이 서쪽으로 불어 따뜻한 해수를 서태평양으로 옮긴다.,동태평양의 용승이 약해지고 따뜻한 해수가 동태평양으로 퍼진다.,,,-,"평상시에는 무역풍이 따뜻한 물을 서태평양으로 밀어 주고, 동태평양에서는 찬물이 올라와요. 엘니뇨 때는 이 무역풍이 약해져 따뜻한 물이 동쪽으로 퍼지죠. 바다가 달라지면 대기의 강수 패턴도 함께 달라져요."
,,,B1,하,인라인,기온이 달라지면 공기의 밀도와 기압도 함께 변합니다. 빈칸에 알맞은 말을 고르세요.,2,1,저기압/고기압/용승,바람/제트류/전향력,,,,,기온이 낮아져 공기가 수축하면 밀도가 높아지면서 [1]이 발달한다. 기압이 서로 다른 두 지역 사이에서 공기가 이동하는 흐름을 [2](이)라고 한다.,"기온이 낮아지면 공기가 수축해 밀도와 기압이 높아지고, 이런 곳이 고기압이에요. 반대로 기온이 높아져 공기가 팽창하면 저기압이 되죠. 공기가 고기압에서 저기압 쪽으로 이동하는 흐름이 바로 바람이에요."
,,,B2,하,OX,지구가 자전하지 않더라도 대기는 지금처럼 여러 개의 순환 셀로 나뉘어 움직인다.,X,,O,X,,,,,-,지구가 자전하지 않는다면 대기는 적도와 극 사이를 오가는 단순한 순환 하나로만 움직일 거예요. 자전이 만들어 낸 전향력이 대기를 여러 셀로 나누어 지금의 기후대 분포를 형성했어요.
,,,B3,중,사지선다 (단수),"태풍은 북반구에서 반시계 방향으로, 남반구에서 시계 방향으로 회전합니다. 이러한 차이가 나타나는 까닭으로 알맞은 것을 고르세요.",4,,대륙과 해양의 가열 속도 차이가 반구마다 다르기 때문이다.,해들리 순환의 상승 기류가 반구마다 반대로 나타나기 때문이다.,남북 간 온도 차이가 커져 제트류가 반구마다 다르게 흐르기 때문이다.,지구 자전에 따른 전향력이 반구마다 반대로 작용하기 때문이다.,,,-,"전향력은 북반구에서 오른쪽, 남반구에서 왼쪽으로 공기를 휘게 해요. 그래서 저기압으로 모여드는 바람의 회전 방향이 반구마다 반대가 되죠. 태풍의 회전 방향도 같은 이유로 갈려요."
