분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
화학,P-2) 단위와 측정,B. 과학 연구의 측정,A1,하,인라인,같은 대상을 여러 번 측정한 결과를 설명한 것입니다. 빈칸에 들어갈 말을 고르세요.,1,1,정밀도/정확도/불확실성,정확도/정밀도/유효숫자,,,,,같은 대상을 여러 번 측정했을 때 값들이 서로 얼마나 가까이 모이는지를 [1](이)라고 한다. 값들이 좁게 모여 있더라도 모두 기준값에서 벗어나 있다면 [2]은(는) 낮을 수 있다.,정밀도는 반복해서 측정한 값들이 서로 얼마나 가까이 모이는지를 뜻해요. 정확도는 그 값이 참값이나 받아들여진 기준값에 얼마나 가까운지를 뜻하죠. 값이 한곳에 모여 있어도 기준에서 벗어나 있을 수 있어서 두 개념을 나누어 봐요.
,,,A2,하,OX,같은 측정을 여러 번 반복하면 잘못 보정된 저울에서 생기는 계통적인 치우침도 저절로 줄어든다.,X,,O,X,,,,,-,반복 측정은 우연한 변동의 영향을 파악하고 평균값을 더 안정적으로 추정하는 데 도움이 돼요. 하지만 잘못 보정된 저울이 반복만으로 저절로 고쳐지지는 않아요. 계통적인 치우침을 찾으려면 기기를 교정하고 다른 기준과 비교해야 해요.
,,,A3,중,사지선다 (단수),영점이 잘못 맞춰진 저울로 같은 물체를 여러 번 측정했습니다. 이때 나타나는 결과로 옳은 것은 무엇인가요?,1,,측정값들이 서로 비슷한 방향으로 어긋난다,측정값들이 매번 다른 방향으로 크게 흩어진다,측정 횟수를 늘릴수록 측정값이 참값에 가까워진다,측정값에 기록할 수 있는 유효숫자의 자릿수가 늘어난다,,,-,저울의 영점이 잘못 맞춰져 있으면 값이 한쪽으로 계속 치우쳐요. 이렇게 측정을 한 방향으로 몰아가는 원인을 계통 오차라고 해요. 매번 다르게 작용해 값을 흩어지게 하는 우연 오차와는 성격이 달라요.
,,,A4,중-상,순서배열,다음 문장은 빛의 속도를 측정하고 정의해 온 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,나-라-가-다,,국제단위계가 진공에서의 빛의 속도를 정확한 상수로 정했다,1676년 올레 뢰머가 목성의 위성 이오가 가려지는 시각을 관측했다,미터가 진공에서의 빛의 속도 값에 바탕을 두어 정의되었다,더 정밀한 관측과 실험이 이어지면서 빛의 속도 측정이 점점 정확해졌다,,,-,1676년 뢰머는 이오가 가려지는 시각이 지구와 목성의 상대적 위치에 따라 달라진다는 점에서 빛의 속도가 무한하지 않음을 정량적으로 보였어요. 그 뒤로 관측과 실험이 정밀해지면서 측정값도 정확해졌죠. 지금은 국제단위계가 이 값을 상수로 정하고 미터를 그 값에 바탕을 두어 정의해요.
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,유효숫자,,,,,,,,막대의 길이를 25.4센티미터라고 적는 것과 25.43센티미터라고 적는 것은 같지 않다. 후자는 더 세밀한 수준까지 측정했다는 정보를 담고 있다. 측정값에서 의미 있게 기록하는 자릿수를 ____(이)라고 한다.,유효숫자는 측정값에서 의미 있게 기록하는 자릿수예요. 마지막 자리까지 완벽하게 확실하다는 뜻은 아니에요. 어떤 정밀도로 측정하고 기록했는지를 보여 주는 약속에 가깝죠.
,,,A6,중,사지선다 (복수),정확도와 정밀도에 대한 설명으로 옳은 것을 모두 고르세요.,1,2,정확도는 측정값이 받아들여진 기준값에 얼마나 가까운지를 뜻한다,정밀도는 여러 번 측정한 값들이 서로 얼마나 모여 있는지를 뜻한다,반복 측정한 값들이 좁게 모여 있으면 정확도도 반드시 높다고 볼 수 있다,정확도는 같은 대상을 여러 번 반복해 측정할수록 반드시 높아진다,,,-,정확도는 측정값이 참값이나 받아들여진 기준값에 얼마나 가까운지를 뜻해요. 정밀도는 반복한 값들이 서로 얼마나 가까이 모이는지를 뜻하죠. 값이 좁게 모여 있어도 모두 기준에서 벗어나 있을 수 있어서 두 값은 함께 움직이지 않아요.
,,,A7,중-상,순서배열,다음 문장은 잘못 보정된 저울에서 생기는 치우침을 다루는 과정을 설명한 것입니다. 설명의 흐름에 맞게 배열하세요.,다-가-라-나,,같은 대상을 여러 번 재어도 값이 비슷한 방향으로 어긋난다,기기를 교정하고 다른 기준과 비교해야 치우침을 찾아낼 수 있다,저울의 영점이 잘못 맞춰진 상태에서 측정이 시작된다,측정을 반복해도 잘못 보정된 저울이 저절로 고쳐지지는 않는다,,,-,저울의 영점이 잘못 맞춰져 있으면 값이 한 방향으로 계속 어긋나요. 이런 계통적인 치우침은 측정을 여러 번 반복한다고 해서 저절로 고쳐지지 않아요. 기기를 교정하고 다른 기준과 비교해야 찾아낼 수 있죠.
,,,B1,하,인라인,측정값을 기록하는 방식을 설명한 것입니다. 빈칸에 들어갈 말을 고르세요.,1,1,유효숫자/불확실성/기준값,거짓 정밀도/계통 오차/우연 오차,,,,,막대의 길이를 25.4센티미터로 적을 때와 25.43센티미터로 적을 때는 담긴 정보가 다르다. 측정값에서 의미 있게 기록하는 자릿수를 [1](이)라고 한다. 도구가 알려 주지 않은 자리까지 덧붙여 적으면 숫자는 정교해 보여도 [2]에 지나지 않는다.,유효숫자는 측정값에서 의미 있게 기록하는 자릿수예요. 자릿수를 늘려 적는다고 더 나은 측정이 되지는 않아요. 도구가 알려 주지 않은 자리까지 덧붙이면 과학에서는 이를 거짓 정밀도라고 불러요.
,,,B2,하,OX,"어떤 질량을 12.34 ± 0.02그램이라고 보고했을 때, ±0.02가 무엇을 뜻하는지는 사용한 방법과 불확실성의 정의에 따라 달라질 수 있다.",O,,O,X,,,,,-,"맞아요. ±로 적은 값의 의미는 어떤 방법으로 구했는지, 불확실성을 어떻게 정의했는지에 따라 달라져요. 중요한 것은 측정값 하나만 던지지 않고 그 값이 어느 정도의 불확실성을 갖는지 함께 밝히는 일이에요."
,,,B3,중,사지선다 (단수),병원 검사표에 적힌 참고 범위에 대한 설명으로 옳은 것은 무엇인가요?,1,,많은 사람에게서 얻은 측정값의 분포와 의학적 판단으로 정해진다,한 번의 검사에서 생기는 측정 불확실성의 크기를 나타낸다,검사에 사용한 장비의 유효숫자 자릿수에 따라 정해진다,검사값에 섞인 계통 오차를 제거한 뒤의 값을 뜻한다,,,-,참고 범위는 많은 사람에게서 얻은 측정값의 분포와 의학적 판단을 바탕으로 정해져요. 한 번의 검사에서 생기는 측정 불확실성과는 다른 개념이죠. 측정의 언어는 이렇게 실험실 밖에서도 쓰여요.
