분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,P-1) 과학적 사고란 무엇인가,A. 자연과학 소개,A1,하,인라인,과학이 다른 믿음과 구별되는 조건을 설명한 글입니다. 빈칸에 들어갈 말을 각각 고르세요.,2,2,증명/의심/암기,재현 가능성/반증 가능성/객관성,,,,,"과학의 힘은 이미 얻은 답을 붙드는 데 있지 않고, 그 답을 다시 [1]하는 데 있다. 어떤 관찰로 틀렸다고 말할 수 있는지 미리 밝힐 수 있는 성질을 칼 포퍼는 [2](이)라고 불렀다.","과학은 확신의 체계가 아니라 의심의 체계예요. 칼 포퍼는 어떤 관찰로 반박될 수 있는지 미리 밝힐 수 있어야 과학적 주장이라고 보았고, 이를 반증 가능성이라고 불렀어요. 반박의 문을 열어 두는 태도가 오히려 과학을 강하게 만들어요."
,,,A2,하,OX,"1600년대 초 사람들이 태양이 지구 주위를 돈다고 믿은 것은, 태양이 매일 동쪽에서 떠서 서쪽으로 지는 모습과 잘 맞았기 때문이다.",O,,O,X,,,,,-,그 시절 태양이 도는 것처럼 보이는 생각이 당연했던 이유는 눈에 보이는 경험과 잘 맞았기 때문이에요. 과학은 이렇게 당연해 보이는 것 앞에서 '정말 그런가?'를 다시 묻는 데서 시작해요. 경험과 잘 맞는다는 사실만으로는 옳다고 확정할 수 없어요.
,,,A3,중,사지선다 (단수),과학적 사고의 출발점인 관찰이 생각보다 어려운 까닭은 무엇인가요?,2,,관측 도구가 없으면 어떤 관찰 기록도 남길 수 없기 때문이다,사람의 감각은 기대하는 것을 보는 경향이 있기 때문이다,관찰은 가설을 세운 다음에만 시작할 수 있기 때문이다,여러 연구자가 동시에 관찰해야만 결과로 인정되기 때문이다,,,-,"우리의 감각은 이미 기대하고 있는 것을 보는 쪽으로 기울어요. 유럽 사람들이 흰 백조만 보아 온 탓에 모든 백조가 흰색이라고 확신한 일이 그 예예요. 튀코 브라헤가 망원경 없이도 평생 관측을 기록한 것처럼, 도구보다 중요한 것은 기록하고 다시 확인하는 태도예요."
,,,A4,중-상,순서배열,다음 문장은 16세기 말부터 이어진 행성 궤도 연구의 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,나-라-가-다,,케플러는 행성이 완벽한 원이 아니라 타원 궤도를 그린다는 가설을 세웠다,튀코 브라헤가 망원경도 없던 시대에 평생에 걸쳐 행성의 위치를 기록했다,케플러의 타원 궤도 가설은 브라헤의 관찰 자료와 잘 맞아떨어졌다,요하네스 케플러가 브라헤의 방대한 관찰 기록을 물려받아 패턴을 찾기 시작했다,,,-,"과학은 관찰 기록에서 시작해 패턴을 찾고 가설로 나아가요. 브라헤가 남긴 자료가 없었다면 케플러의 타원 궤도 가설도 나오기 어려웠어요. 다만 자료와 잘 맞았다고 해서 끝이 아니라, 새로운 관찰이 언제든 가설을 뒤흔들 수 있어야 해요."
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,과학적 방법,,,,,,,,"관찰에서 출발해 가설을 세우고, 검증을 거쳐 필요하면 수정하는 과정은 한 번으로 끝나지 않고 계속 돌아간다. 끝나지 않는 이 순환을 ___ __(이)라고 한다.","관찰, 가설, 검증, 수정이 이어지는 순환이 과학적 방법이에요. 이 순환은 끝나지 않기 때문에 우리가 아는 것은 최선의 설명이지 최종 답이 아니에요. 그래서 과학은 진리의 집합이 아니라 방법이라고 불려요."
,,,A6,중,사지선다 (복수),현대 과학이 연구 결과의 신뢰성을 확인하는 방법을 모두 고르세요.,1,3,같은 분야의 다른 전문가들이 논문의 방법론과 결론을 검토한다,논문에 이름을 올린 연구자의 수가 충분히 많은지 확인한다,다른 연구팀이 같은 실험 결과를 독립적으로 재현해 본다,연구자가 그 분야를 얼마나 오래 연구했는지를 기준으로 판단한다,,,-,"현대 과학은 동료 심사와 재현이라는 두 장치로 결과를 걸러요. 같은 분야 전문가가 방법론과 결론을 검토하고, 다른 연구팀이 독립적으로 같은 결과를 얻을 수 있어야 해요. 연구자의 경력이나 참여 인원 수는 신뢰의 근거가 되지 못해요."
,,,A7,중-상,순서배열,다음 문장은 모든 백조가 흰색이라는 믿음이 무너지는 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,다-나-라-가,,검은 백조 한 마리가 모든 백조는 흰색이라는 명제를 반박했다,사람들은 모든 백조가 흰색이라고 오랫동안 확신했다,유럽에서 관찰된 백조가 하나도 빠짐없이 흰색이었다,탐험가들이 17세기 말 오스트레일리아에서 검은 백조를 발견했다,,,-,아무리 많은 사례를 관찰해도 '모든 ~이다'라는 명제를 완전히 증명할 수는 없어요. 반대로 어긋나는 사례 하나면 그 명제는 반박돼요. 검은 백조는 반증 가능성이 왜 과학의 조건인지 보여 주는 대표적인 사례예요.
,,,B1,하,인라인,흰 백조와 검은 백조 이야기를 정리한 설명입니다. 빈칸에 들어갈 말을 각각 고르세요.,1,2,확신/의심/반박,가설/반례/근거,,,,,"유럽에서 관찰된 백조가 모두 흰색이었기 때문에 사람들은 모든 백조가 흰색이라고 [1]했다. 아무리 많은 흰 백조를 관찰해도 그 명제를 완전히 증명할 수는 없었지만, 오스트레일리아에서 발견된 검은 백조 한 마리는 그 명제를 무너뜨리는 [2]이(가) 되었다.",아무리 많은 사례를 모아도 '모든 ~이다'라는 주장을 완전히 증명하기는 어려워요. 반대로 어긋나는 사례가 하나만 나와도 그 주장은 반박돼요. 그래서 과학적 주장은 늘 반례 앞에서 수정될 준비가 되어 있어야 해요.
,,,B2,하,OX,"실험 결과가 다른 연구팀에서 재현되지 않더라도, 그 결과를 발표한 연구자가 널리 알려진 사람이라면 신뢰할 수 있다.",X,,O,X,,,,,-,과학에서는 누가 말했느냐보다 어떻게 확인했느냐가 더 중요해요. 다른 연구팀이 독립적으로 재현하지 못한 결과는 유명한 사람이 발표해도 신뢰하기 어려워요. 재현성은 연구자의 명성으로 대신할 수 없어요.
,,,B3,중,사지선다 (단수),'무슨 일이 일어나든 보이지 않는 힘이 그렇게 만든 것이다'라는 말이 있습니다. 이 주장을 과학의 방식으로 검증하기 어려운 까닭은 무엇인가요?,3,,그 힘을 측정할 기술이 아직 개발되지 않았기 때문이다,그 주장을 뒷받침하는 관찰 사례가 하나도 없기 때문이다,어떤 결과가 나와도 그 주장을 반박할 수 없기 때문이다,한 사람이 제기했을 뿐 여러 사람이 동의하지 않았기 때문이다,,,-,과학적 주장이 되려면 어떤 관찰로 틀렸다고 말할 수 있는지가 열려 있어야 해요. 어떤 결과가 나와도 반박되지 않는 말은 믿음이나 해석일 수는 있어도 검증 대상이 되기 어려워요. 반박의 문을 열어 두는 것이 오히려 과학을 강하게 만들어요.
