분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
화학,P-1) 과학적 사고란 무엇인가,B. 과학 연구의 목표,A1,하,인라인,멘델레예프가 주기율표를 이용해 한 일을 정리한 설명입니다. 빈칸에 들어갈 말을 각각 고르세요.,2,2,발견 연도/성질/원자의 개수,가설/예측/증명,,,,,"멘델레예프는 주기율표에 빈자리를 남겨 두고, 아직 발견되지 않은 원소의 [1]을(를) 미리 제시했다. 이처럼 설명에서 끌어내어 아직 관측되지 않은 것을 미리 말하는 일을 [2](이)라고 한다.",멘델레예프는 주기율표에 빈자리를 남겨 두고 아직 발견되지 않은 원소의 성질을 미리 제시했어요. 이렇게 설명에서 끌어내어 아직 관측되지 않은 것을 미리 말하는 일이 예측이에요. 갈륨과 저마늄이 발견되면서 그 예측 가운데 여러 부분이 실제 성질과 잘 맞는다는 사실이 확인되었어요.
,,,A2,하,OX,에드먼드 핼리는 자신이 예측한 혜성의 귀환을 직접 관측하지 못했다.,O,,O,X,,,,,-,"핼리는 혜성이 다시 돌아올 것이라고 예측했지만 그 귀환을 직접 관측하지는 못했어요. 혜성은 1758년 무렵 다시 나타났고, 지금은 핼리의 이름으로 불려요. 예측은 그것을 세운 사람의 생애를 넘어서도 시험받을 수 있어요."
,,,A3,중,사지선다 (단수),'1기압에서 물은 왜 섭씨 100도에서 끓는가'라는 질문은 과학이 다룰 수 있습니다. 그 까닭은 무엇인가요?,1,,조건을 정해 결과를 측정하고 서로 다른 설명을 비교할 수 있기 때문이다,이미 정답이 정해져 있어 다시 확인할 필요가 없기 때문이다,"질문 안에 1기압, 섭씨 100도 같은 숫자가 들어 있기 때문이다",누구나 일상에서 자주 겪는 익숙한 현상이기 때문이다,,,-,"과학은 조건을 정하고 결과를 측정할 수 있는 질문을 다뤄요. 1기압이라는 조건이 정해지면 끓는 온도를 재고 서로 다른 설명을 비교할 수 있어요. 질문에 숫자가 들어 있는지, 익숙한 현상인지는 판단 기준이 아니에요."
,,,A4,중-상,순서배열,다음 문장은 행성의 운동을 설명하는 이론이 확장되어 온 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,나-라-가-다,,20세기 초 아인슈타인은 일반 상대성 이론으로 수성 궤도의 작은 차이를 설명했다,뉴턴 역학은 수백 년 동안 행성과 물체의 운동을 매우 정확하게 설명했다,1919년 개기일식 관측은 빛이 태양 가까이에서 휘어진다는 예측을 지지하는 결과로 받아들여졌다,수성의 궤도에는 뉴턴 역학만으로 충분히 설명되지 않는 작은 차이가 남아 있었다,,,-,"과학은 잘 맞는 설명에 남은 작은 어긋남을 놓치지 않아요. 수성 궤도의 차이를 설명한 일반 상대성 이론은 빛의 휘어짐이라는 새 예측까지 내놓았고, 1919년 개기일식 관측이 이를 지지했어요. 새 이론은 옛 이론을 지우는 대신 그 이론이 어디까지 맞는지를 알려 줘요."
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,과학적 질문,,,,,,,,"관찰과 측정, 검증이 가능한 형태로 다듬어진 질문은 증거를 모아 서로 다른 설명을 비교할 수 있게 한다. 답을 미리 정해 두지 않고 증거에 따라 설명을 바꿀 수 있는 이러한 질문을 ___ __(이)라고 한다.","과학은 모든 질문에 답하지 않고, 관찰과 측정, 검증이 가능한 질문을 다뤄요. 이렇게 다듬어진 과학적 질문은 답을 미리 정해 두지 않고 증거에 따라 설명을 바꿀 수 있게 해요. '왜 우주는 존재하는가'처럼 지금의 관찰만으로 판별하기 어려운 질문과는 이 점이 달라요."
,,,A6,중,사지선다 (복수),새로운 이론이 등장한 뒤에도 뉴턴 역학이 매우 정확하게 작동하는 조건을 모두 고르세요.,1,2,물체의 속도가 빛의 속도에 비해 매우 느린 경우,중력이 극단적으로 강하지 않은 환경에 있는 경우,빛이 태양 가까이를 지나며 휘어지는 경우,수성의 궤도에 남은 작은 차이를 설명해야 하는 경우,,,-,뉴턴 역학은 지금도 아주 많은 상황에서 정확하게 작동해요. 속도가 빛에 비해 매우 느리고 중력이 극단적으로 강하지 않으면 뉴턴 역학으로 충분해요. 빛의 휘어짐이나 수성 궤도의 작은 차이처럼 그 범위를 벗어나는 경우에 새 이론이 필요해요.
,,,A7,중-상,순서배열,다음 문장은 천둥소리가 생성되는 과정을 과학이 어떻게 설명하는지 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-가-라-나,,구름 안에서 전기적 퍼텐셜 차이가 점점 커진다,방전으로 공기가 급격히 가열되고 팽창하면서 천둥소리가 생성된다,구름 속에서 얼음 입자와 물방울이 충돌하면서 전하가 분리된다,전기적 퍼텐셜 차이가 충분히 커지면 방전이 일어난다,,,-,"천둥은 미시적인 입자들의 충돌에서 시작돼요. 구름 속 얼음 입자와 물방울이 부딪히며 전하가 분리되고, 퍼텐셜 차이가 커져 방전이 일어나요. 방전으로 공기가 급격히 가열되고 팽창하면서 우리가 듣는 천둥소리가 생성돼요."
,,,B1,하,인라인,과학이 지식의 확실성을 다루는 방식을 정리한 설명입니다. 빈칸에 들어갈 말을 각각 고르세요.,1,3,이론/추측/직관,사실/법칙/가설,,,,,"과학의 지식에는 확실성의 정도가 서로 다르다. 반복해서 확인된 사실과 널리 지지받는 [1]이(가) 있는가 하면, 아직 증거가 충분하지 않은 [2]도 남아 있다.","과학의 지식은 모두 같은 무게를 갖지 않아요. 널리 지지받는 이론이 있는가 하면, 증거가 아직 충분하지 않은 가설도 함께 있어요. 무엇을 아는지뿐 아니라 어디까지 아는지를 함께 밝히는 것이 과학의 태도예요."
,,,B2,하,OX,일반 상대성 이론이 등장한 뒤 뉴턴 역학은 어떤 상황에서도 쓸 수 없는 이론이 되었다.,X,,O,X,,,,,-,새 이론이 등장해도 옛 이론이 곧바로 쓸모없어지는 것은 아니에요. 속도가 빛에 비해 매우 느리고 중력이 극단적으로 강하지 않은 상황에서는 뉴턴 역학이 매우 정확하게 작동해요. 새 이론은 옛 이론이 어디까지 잘 맞는지를 더 분명히 알려 주기도 해요.
,,,B3,중,사지선다 (단수),과학에서 예측이 빗나간 순간이 중요하게 다루어지는 까닭은 무엇인가요?,1,,기존 설명이 어디까지 맞는지 그 한계가 드러나기 때문이다,그 설명을 세운 연구자의 실수를 확인할 수 있기 때문이다,예측을 끌어낸 이론 전체를 폐기해야 한다는 뜻이기 때문이다,관측 장비의 오차를 바로잡을 기회가 되기 때문이다,,,-,"예측이 맞으면 설명에 대한 신뢰가 커지지만, 빗나갈 때는 기존 설명의 한계가 드러나요. 수성 궤도의 작은 차이가 뉴턴 역학의 한계를 알려 준 것이 그 예예요. 한계가 드러난다고 해서 이론 전체가 버려지는 것은 아니에요."
