분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,4-1) 운동과 힘,A. 동역학,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,4-1) 운동과 힘,B. 천체역학,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,4-2) 유체의 흐름,유체역학,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,4-3) 파동 — 에너지의 전달,파동과 진동,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,4-4) 열과 엔트로피,A. 열평형과 에너지 보존,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,4-4) 열과 엔트로피,B. 엔트로피,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-4) 열과 엔트로피,C. 화학 반응과 에너지,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-5) 화학 반응의 법칙,A. 반응 속도,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-5) 화학 반응의 법칙,B. 반응 메커니즘,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-5) 화학 반응의 법칙,C. 촉매,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-6) 반응의 방향성,A. 화학 반응의 자발성,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-6) 반응의 방향성,B. 평형의 개념,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-6) 반응의 방향성,C. 평형 상수,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-7) 산·염기와 산화·환원,A. 산-염기 반응,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
화학,4-7) 산·염기와 산화·환원,B. 산화-환원 반응,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
