분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
생명,7-1) 생명의 화학,C. 생명과 물,A1,하,인라인,다음은 물 분자의 성질을 설명한 것입니다. 빈칸에 들어갈 알맞은 말을 고르세요.,2,3,무극성/극성/이온화,공유 결합/이온 결합/수소 결합,,,,,"물 분자는 산소 쪽이 약한 음전하를, 수소 쪽이 약한 양전하를 띤다. 이렇게 한 분자 안에 음과 양이 함께 있는 성질을 [1](이)라고 한다. 또한 한 물 분자의 수소 쪽은 이웃한 물 분자의 산소 쪽에 끌리는데, 이 약한 인력을 [2](이)라고 한다.","물 분자는 산소 쪽이 음전하를, 수소 쪽이 양전하를 띠는 극성 분자예요. 이 극성 덕분에 이웃한 분자끼리 수소 결합으로 서로를 끌어당겨요. 물의 특별한 성질은 대부분 여기에서 시작돼요."
,,,A2,하,OX,"우리 혈액에서 탄산수소 이온과 탄산이 짝을 이루어, 산이 들어오면 흡수하고 염기가 들어오면 중화한다.",O,,O,X,,,,,-,혈액의 pH가 좁은 범위에서 유지되는 것은 완충 작용 덕분이에요. 탄산수소 이온과 탄산이 짝을 이루어 산과 염기의 변화를 받아 줘요. 이 완충 작용도 물이라는 수용액 환경에서 일어나요.
,,,A3,중,사지선다 (단수),물이 얼 때 부피가 줄어 얼음이 가라앉는다고 가정해 봅시다. 이때 예상되는 결과로 알맞은 것은 무엇인가요?,3,,호수 표면만 얼고 아래쪽 물은 얼지 않은 채 그대로 남는다,물이 얼지 않게 되어 호수의 온도가 늘 일정하게 유지된다,호수가 깊은 곳까지 통째로 얼어 생물이 자리 잡기 어려워진다,바위 틈의 얼음이 커지면서 토양이 더 빠르게 만들어진다,,,-,물은 얼면 부피가 늘고 밀도가 낮아져 얼음이 위로 떠요. 덕분에 겨울 호수는 표면부터 얼고 아래쪽 물은 얼지 않은 채 남아요. 얼음이 가라앉는다면 깊은 곳까지 얼어붙어 생명이 자리 잡기 어려웠을 거예요.
,,,A4,중-상,순서배열,다음 문장은 물 분자에서 수소 결합이 생기기까지의 과정을 설명한 것입니다. 설명의 흐름에 맞게 배열하세요.,다-가-라-나,,물 분자는 두 수소가 약 104.5도로 벌어진 굽은 구조라서 두 결합의 극성이 상쇄되지 않는다,한 물 분자의 수소 쪽이 이웃한 물 분자의 산소 쪽에 끌리는 수소 결합이 생긴다,"산소가 수소보다 전자를 강하게 잡아당겨 산소 쪽은 음전하를, 수소 쪽은 양전하를 띤다",물 분자는 한 분자 안에 음과 양이 함께 존재하는 극성 분자가 된다,,,-,산소가 전자를 강하게 잡아당기면서 분자 안에 부분 전하가 생겨요. 물 분자가 굽어 있어 이 전하가 상쇄되지 않고 분자 전체가 극성을 띠어요. 그 극성이 이웃 분자를 끌어당기면서 수소 결합이 생겨요.
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,응집력,,,,,,,,나무의 물관 속에서 물 분자들이 수소 결합으로 이어져 하나의 물기둥을 이룬다. 이때 물 분자끼리 서로를 끌어당기는 힘을 ___이라고 한다.,물 분자끼리 수소 결합으로 서로를 끌어당기는 힘이 응집력이에요. 이 힘 덕분에 물기둥이 끊어지지 않고 이어져요. 물관 벽에 들러붙는 부착력과 함께 큰 나무의 꼭대기까지 물을 올려 보내요.
,,,A6,중,사지선다 (복수),물 분자 사이의 수소 결합에 대한 설명으로 옳은 것을 모두 고르세요.,2,4,한번 맺어진 수소 결합은 좀처럼 끊어지지 않고 그대로 유지된다,원자를 직접 이어 주는 공유 결합보다 훨씬 약한 인력이다,이웃한 두 물 분자의 산소끼리 전자를 함께 쓰면서 생긴다,한 물 분자는 평균적으로 여러 이웃 분자와 수소 결합을 맺는다,,,-,수소 결합은 공유 결합보다 훨씬 약한 인력이에요. 그래서 매우 짧은 시간 안에 끊어지고 다시 생겨요. 대신 한 분자가 여러 이웃과 결합을 맺어 물 전체가 촘촘하게 이어져요.
,,,A7,중-상,순서배열,다음 문장은 나무 꼭대기까지 물이 올라가는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,나-라-가-다,,물관 아래쪽의 물 분자들이 수소 결합으로 이어진 채 잇따라 끌려 올라간다,자이언트 세쿼이아의 잎에서 물이 수증기로 증발한다,물기둥이 끊기지 않고 이어져 100미터가 넘는 나무 꼭대기 가까이까지 물이 도달한다,증발로 생긴 끌어당기는 힘이 잎에 가장 가까운 물 분자를 위로 올린다,,,-,잎에서 물이 증발하면 물기둥을 위로 빨아올리는 증산력이 생겨요. 수소 결합으로 이어진 물 분자들이 끊기지 않고 잇따라 끌려 올라가요. 물관 벽에 들러붙는 힘까지 더해져 꼭대기 가까이까지 물기둥이 이어져요.
,,,B1,하,인라인,다음은 물의 온도가 천천히 변하는 까닭을 설명한 것입니다. 빈칸에 들어갈 알맞은 말을 고르세요.,2,1,밀도/비열/점성,완충/증폭/차단,,,,,"물을 데울 때는 분자의 운동 에너지를 키우는 것에 더해 수소 결합도 일부 끊어야 한다. 그래서 물은 온도를 바꾸는 데 많은 에너지가 필요한데, 이런 성질을 [1](이)가 크다고 표현한다. 지구 표면의 70퍼센트를 덮은 물은 이 성질 덕분에 거대한 온도 [2] 장치가 된다.",물은 데우거나 식힐 때 수소 결합을 끊고 잇는 데에도 에너지를 써요. 그래서 비열이 커서 온도가 천천히 변해요. 바다가 급격한 온도 변화를 완충하는 것도 같은 이유예요.
,,,B2,하,OX,자이언트 세쿼이아의 꼭대기까지 물이 올라가는 것은 뿌리가 펌프처럼 물을 밀어 올리기 때문이다.,X,,O,X,,,,,-,"큰 나무에는 물을 밀어 올리는 펌프가 없어요. 잎에서 물이 증발하며 위로 빨아올리는 힘, 물 분자끼리 서로 끌어당기는 힘, 물관 벽에 들러붙는 힘이 함께 작동해요. 세 힘이 이어져 100미터가 넘는 높이까지 물이 올라가요."
,,,B3,중,사지선다 (단수),물은 얼음이나 수증기 형태로 행성과 달과 혜성에 두루 흩어져 있습니다. 그 이유로 알맞은 것은 무엇인가요?,2,,물이 우주 공간에서 저절로 생겨나는 유일한 분자이기 때문이다,물 분자를 이루는 수소와 산소가 우주에 흔한 원소이기 때문이다,빅뱅이 수소와 산소를 한꺼번에 만들어 우주에 퍼뜨렸기 때문이다,지구의 바다에서 증발한 물이 우주로 퍼져 나갔기 때문이다,,,-,빅뱅이 만든 수소와 별이 만든 산소가 만나면 물이 돼요. 두 원소 모두 우주에 흔해서 물도 여러 천체에 두루 흩어져 있어요. 재료가 흔했다는 점이 지구에 바다가 생긴 출발점이에요.
