분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,1-1) 시간과 공간의 본질,A. 특수 상대성 이론,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
물리,1-1) 시간과 공간의 본질,B. 일반 상대성 이론,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-2) 우주의 탄생,A. 표준 우주 모형,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-2) 우주의 탄생,B. 우주론,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-3) 우주의 구성과 구조,A. 우주의 구성 성분,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-3) 우주의 구성과 구조,B. 우주의 3차원 구조,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-4) 우주를 어떻게 보는가,A. 구면 천문학,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-4) 우주를 어떻게 보는가,B. 측광과 분광,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-4) 우주를 어떻게 보는가,C. 관측기기,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-5) 은하의 세계,A. 우리은하와 외부은하,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-5) 은하의 세계,B. 은하의 다양한 모습과 특성,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
천문,1-5) 은하의 세계,C. 은하의 형성과 진화,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
