분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,2-2) 별의 구조와 에너지,A. 별의 내부 구조와 물리,A1,하,인라인,별이 처음 빛을 내기 시작하는 과정을 설명한 글입니다. 빈칸에 들어갈 말을 각각 고르세요.,1,1,중력/자기력/전기력,양자 터널 효과/도플러 효과/광전 효과,,,,,"수소와 헬륨을 주성분으로 하는 거대한 가스 구름이 [1]에 이끌려 뭉치면, 중심부의 온도와 압력이 함께 올라간다. 중심부 온도가 섭씨 약 1,000만 도에 가까워지고 여기에 [2]까지 더해지면 핵융합이 시작된다.","별은 중력에 이끌려 뭉치면서 스스로 중심부를 뜨겁게 만들어요. 온도가 약 1,000만 도에 다가서면 수소 원자핵들이 빠르게 충돌하고, 여기에 양자 터널 효과가 더해져 핵융합이 시작돼요."
,,,A2,하,OX,에딩턴은 중력 수축만으로는 태양의 긴 수명과 광도를 설명하기 어렵다고 보았다.,O,,O,X,,,,,-,"에딩턴은 1920년에 별의 에너지가 수소가 헬륨으로 바뀌는 과정에서 나올 수 있다고 제안했어요. 당시에는 반신반의하는 분위기였지만, 1930년대 말 핵물리학이 발전하면서 그 방향이 옳았다는 것이 드러났어요."
,,,A3,중,사지선다 (단수),태양의 핵에서 방출된 중성미자는 지구까지 거의 곧장 날아옵니다. 그 까닭은 무엇인가요?,1,,전하가 없고 물질과 거의 반응하지 않기 때문이다,태양 표면에서 생성되어 곧바로 방출되기 때문이다,빛보다 훨씬 빠른 속도로 이동하는 입자이기 때문이다,태양 내부의 자기장에 밀려 빠르게 튕겨 나오기 때문이다,,,-,중성미자는 전하가 없고 물질과 거의 반응하지 않아요. 그래서 태양 내부의 빽빽한 입자들 사이를 그대로 통과해 지구까지 날아오죠. 표면까지 수만 년이 걸리는 빛과는 사정이 아주 달라요.
,,,A4,중-상,순서배열,다음 문장은 별에서 핵융합이 시작되기까지의 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,나-라-가-다,,"중심부 온도가 약 1,000만 도에 다가서며 수소 원자핵들이 빠르게 충돌한다",수소와 헬륨으로 이루어진 거대한 가스 구름이 중력에 이끌려 뭉친다,수소 원자핵의 빠른 충돌에 양자 터널 효과가 더해져 핵융합이 시작된다,가스 구름이 뭉칠수록 중심부의 압력과 온도가 함께 올라간다,,,-,별은 중력에 눌려 뭉치는 동안 스스로 중심부를 뜨겁게 만들어요. 온도가 충분히 올라가야 원자핵이 융합할 만큼 빠르게 충돌할 수 있죠. 중력이 가스를 짓눌렀던 붕괴의 끝에서 별이 켜지는 거예요.
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,정역학적 평형,,,,,,,,"별의 각 층에서 뜨거운 플라스마의 압력은 바깥으로 밀어내고, 중력은 안쪽으로 끌어당긴다. 이 두 힘이 서로 균형을 이루어 별이 폭발하지도 꺼지지도 않는 상태를 ____ __(이)라고 한다.",별 안에서 바깥으로 미는 압력과 안쪽으로 당기는 중력이 팽팽하게 맞서요. 이 균형이 각 층에서 유지되기 때문에 태양은 46억 년 동안 안정적으로 빛날 수 있었어요.
,,,A6,중,사지선다 (복수),태양이 에너지를 생성하는 방식으로 옳은 것을 모두 고르세요.,1,2,수소 원자핵 네 개가 여러 단계를 거쳐 헬륨 원자핵 하나로 바뀐다,핵융합 과정에서 질량의 약 0.7퍼센트가 에너지로 바뀐다,수소가 산소와 결합하는 화학 반응으로 빛과 열이 나온다,헬륨 원자핵 하나가 수소 원자핵 네 개로 갈라지며 열이 나온다,,,-,"태양의 에너지는 수소 원자핵이 헬륨으로 바뀌는 핵융합에서 나와요. 이때 줄어든 질량이 에너지로 바뀌는데, 매초 약 400만 톤에 해당하는 질량이 에너지가 돼요."
,,,A7,중-상,순서배열,다음 문장은 별의 핵융합 반응이 활발해졌을 때 일어나는 변화를 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-라-가-나,,중심부의 온도가 내려가면 핵융합 반응이 느려진다,핵융합 반응이 느려지면 중력이 별을 수축시켜 중심부 온도를 높인다,핵융합 반응이 활발해지면 별의 내부가 팽창한다,별의 내부가 팽창하면 중심부의 온도가 내려간다,,,-,반응이 지나치게 활발해지면 별은 스스로 팽창해 중심부 온도를 낮춰요. 반대로 반응이 약해지면 중력이 별을 수축시켜 온도를 다시 올려요. 별은 이렇게 스스로 균형을 되찾는 조절 장치를 지니고 있어요.
,,,B1,하,인라인,태양이 에너지를 생성하는 방식과 반응 속도를 설명한 글입니다. 빈칸에 들어갈 말을 각각 고르세요.,1,1,질량/전하/부피,느리기/빠르기/불규칙하기,,,,,"태양 중심에서 수소 원자핵 네 개가 헬륨 원자핵 하나로 바뀔 때, 줄어든 [1]이(가) 에너지로 바뀐다. 양성자 하나가 이 반응에 참여하기까지 평균 약 90억 년이 걸릴 만큼 반응이 [2] 때문에, 태양은 오랜 시간 안정적으로 빛난다.",핵융합에서 줄어든 질량은 사라지지 않고 에너지로 바뀌어요. 반응이 워낙 느려서 연료가 천천히 소진되기 때문에 태양은 약 100억 년 동안 빛날 수 있어요.
,,,B2,하,OX,태양 중심부에서 핵융합 반응이 활발해지면 별의 내부가 팽창하므로 중심부 온도는 더 높아진다.,X,,O,X,,,,,-,"반응이 활발해지면 별의 내부가 팽창하면서 중심부 온도는 오히려 내려가요. 온도가 내려가면 반응도 느려지기 때문에, 별은 스스로 균형을 되찾을 수 있어요."
,,,B3,중,사지선다 (단수),태양 핵 속의 양성자 하나는 핵융합 반응에 참여하기까지 평균 약 90억 년이 걸립니다. 이 수치가 뜻하는 것은 무엇인가요?,1,,핵융합 반응이 매우 느려 연료가 천천히 소진된다,태양의 양성자 대부분이 이미 헬륨으로 바뀌었다,태양은 약 90억 년 뒤에 한꺼번에 폭발하게 된다,태양 중심부 온도가 핵융합에 필요한 값보다 낮다,,,-,반응이 느리다는 것은 연료가 천천히 줄어든다는 뜻이에요. 그래서 태양은 약 100억 년에 걸쳐 안정적으로 빛날 수 있어요. 태양의 핵융합은 폭탄이 아니라 아주 인내심 있는 불꽃인 셈이죠.
