분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,P-3) 수학 — 자연의 언어,수리물리,A1,하,인라인,자연의 변화를 나타내는 방정식에 관한 설명입니다. 빈칸에 들어갈 말을 고르세요.,1,2,미분방정식/적분방정식/벡터방정식,처음 상태/다음 상태/평균 상태,,,,,어떤 양이 지금 이 순간 어떻게 변하는지를 나타내는 방정식을 [1](이)라고 한다. 뉴턴의 운동 방정식과 슈뢰딩거 방정식도 같은 형태로 쓰여 있다. 이러한 방정식을 풀면 자연의 [2]을(를) 예측할 수 있다.,"미분방정식은 어떤 양이 순간마다 얼마나 변하는지를 담아내는 방정식이에요. 자연의 변화 법칙이 이 형태로 압축되어 있어서, 방정식을 풀면 다음 순간의 상태를 계산해 낼 수 있어요. 행성이 내일 어디에 있을지도 이렇게 알아내는 거예요."
,,,A2,하,OX,위그너가 말한 수학의 '불합리한 효용성'은 수학이 자연 현상을 관찰한 뒤에 그에 맞추어 만들어진다는 뜻이다.,X,,O,X,,,,,-,"위그너가 짚은 것은 그 반대예요. 수학이 자연을 설명할 목적 없이 먼저 만들어지고, 훗날 전혀 예상하지 못한 현상을 설명하는 데 쓰이는 일이 있어요. '불합리한'이라는 말이 붙은 이유가 여기에 있어요."
,,,A3,중,사지선다 (단수),떨어지는 공의 궤적과 지구를 둘러싼 자기장은 같은 방식으로 기술할 수 있습니다. 그 까닭은 무엇인가요?,1,,둘 다 크기와 방향을 함께 가진 양의 변화이기 때문이다,둘 다 시간이 지나도 크기가 변하지 않는 양이기 때문이다,둘 다 단순한 파동 여러 개의 합으로 분해되기 때문이다,둘 다 뒤집어도 겉모습이 변하지 않는 대칭성을 지니기 때문이다,,,-,"힘과 속도, 전기장과 자기장처럼 자연의 많은 양은 크기만으로 설명되지 않아요. 크기와 방향을 동시에 가진 양을 다루는 것이 벡터예요. 벡터와 미적분을 결합하면 삼차원 공간에서 일어나는 방향을 가진 변화를 간결하게 기술할 수 있어요."
,,,A4,중-상,순서배열,다음 문장은 미적분학이 등장하기까지의 과정을 나타냅니다. 설명의 흐름에 맞게 배열하세요.,나-라-가-다,,17세기 후반 뉴턴과 라이프니츠가 서로 독립적으로 미적분학을 발전시켰다.,자연의 모든 것은 끊임없이 움직이고 변하며 서로에게 영향을 준다.,과학자들은 행성의 운동과 떨어지는 물체의 속도를 계산으로 설명하게 되었다.,자연의 움직임을 설명하려면 순간의 변화와 전체의 흐름을 함께 다루는 언어가 필요했다.,,,-,"미적분학은 우연히 등장한 도구가 아니에요. 자연이 끊임없이 변한다는 사실이 먼저 있었고, 그 변화를 다룰 언어가 필요했기 때문에 두 사람이 거의 같은 시기에 나란히 같은 도구를 만들어 냈어요. 필요가 도구를 부르고, 도구가 새로운 설명을 가능하게 한 셈이에요."
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,푸리에 분석,,,,,,,,"소리와 빛, 지진파처럼 겉모습이 다른 파동도 단순한 파동 몇 개를 겹쳐 놓은 것으로 볼 수 있다. 복잡한 파동을 이렇게 단순한 파동들의 합으로 나누어 보는 방법을 ___ __(이)라고 한다.","푸리에 분석은 뒤엉킨 파동도 단순한 파동의 합으로 나누어 볼 수 있게 해 줘요. 그래서 복잡한 신호를 숫자 몇 개로 다루고 저장할 수 있게 되지요. 소리의 디지털 저장, MRI 영상, 지진파를 통한 지구 내부 연구가 모두 이 방법을 바탕으로 해요."
,,,A6,중,사지선다 (복수),수학에서 말하는 대칭성에 대한 설명으로 옳은 것을 모두 고르세요.,1,2,어떤 대상을 돌리거나 뒤집거나 옮겨도 겉모습이 그대로인 성질이다,시간과 장소가 달라져도 같은 물리 법칙이 작동한다는 점과 이어진다,물리학에서는 아름다움을 설명할 뿐 물리 법칙과는 이어지지 않는다,복잡한 파동을 단순한 파동들의 합으로 나눌 때 쓰는 계산 방법이다,,,-,대칭성은 돌리거나 뒤집거나 옮겨도 겉모습이 그대로인 성질이에요. 물리학에서 이 개념은 아름다움에 그치지 않고 에너지 보존이나 운동량 보존 같은 법칙과 깊이 이어져요. 대칭성은 자연이 지닌 질서를 수학으로 읽는 또 하나의 방식이에요.
,,,A7,중-상,순서배열,다음 문장은 공의 위치에서 출발해 미분과 적분을 차례로 적용하는 계산 과정을 나타냅니다. 바로 앞에서 구한 양을 다음 계산에 넣는 순서대로 배열하세요.,다-가-라-나,,속도를 시간에 대해 미분하면 가속도를 얻는다.,속도를 시간에 대해 적분하면 위치를 얻는다.,공의 위치를 시간에 대해 미분하면 속도를 얻는다.,가속도를 시간에 대해 적분하면 속도를 얻는다.,,,-,"미분은 순간의 변화를 구하고, 적분은 작은 변화들을 더해 전체의 흐름을 구해요. 위치에서 속도로, 속도에서 가속도로 내려간 다음 적분으로 되짚어 오면 처음의 위치로 돌아와요. 미분과 적분이 서로 거꾸로 이어진 연산이라는 사실을 보여 주는 과정이에요."
,,,B1,하,인라인,물리 법칙과 이어지는 수학적 성질에 관한 설명입니다. 빈칸에 들어갈 말을 고르세요.,1,1,대칭성/주기성/연속성,보존/소멸/증폭,,,,,어떤 대상을 돌리거나 뒤집거나 옮겨도 겉모습이 그대로인 성질을 [1](이)라고 한다. 시간과 장소가 달라져도 같은 물리 법칙이 작동한다는 사실은 에너지가 [2]된다는 법칙과 깊이 이어진다.,돌리거나 뒤집거나 옮겨도 겉모습이 그대로인 성질을 대칭성이라고 해요. 물리학에서 이 개념은 아름다움에 그치지 않고 에너지 보존이나 운동량 보존과 깊이 이어져요. 대칭성은 자연이 지닌 질서를 수학으로 읽는 또 하나의 방식이에요.
,,,B2,하,OX,"진동을 기술하는 방정식은 전자기파와 소리, 원자 내부의 세계에도 같은 형태로 나타난다.",O,,O,X,,,,,-,"진동을 기술하는 방정식은 전자기파에도, 소리에도, 원자 내부의 세계에도 나타나요. 중력을 기술하는 수식과 전기력을 기술하는 수식도 형태가 놀랍도록 닮았어요. 서로 달라 보이는 현상들이 같은 수학 구조 안에서 만나는 거예요."
,,,B3,중,사지선다 (단수),"뉴턴의 운동 방정식과 맥스웰 방정식, 슈뢰딩거 방정식은 모두 미분방정식입니다. 이 사실이 뜻하는 것은 무엇인가요?",1,,세 법칙 모두 어떤 양이 순간마다 어떻게 변하는지를 나타낸다,세 법칙 모두 크기와 방향을 가진 양만을 다루는 법칙이다,세 법칙 모두 복잡한 파동을 단순한 파동의 합으로 나눈다,세 법칙 모두 시간과 무관한 고정된 값을 계산해 낸다,,,-,"미분방정식은 어떤 양이 지금 어떻게 변하는지를 나타내는 방정식이에요. 자연의 변화를 설명하는 법칙들이 이 형태로 쓰여 있다는 것은, 자연의 법칙이 곧 변화의 규칙이라는 뜻이에요. 그래서 방정식을 풀면 다음 상태를 예측할 수 있어요."
