분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,P-2) 단위와 측정,A. 단위,A1,하,인라인,18세기 말 프랑스 과학원이 단위의 기준을 정한 방식을 설명한 것입니다. 빈칸에 들어갈 말을 고르세요.,1,1,자연/관습/왕실,재현/변환/보정,,,,,"18세기 말 프랑스 혁명 직후, 유럽 각국이 제각각의 단위를 사용해 거래에서 계산 착오로 인한 분쟁이 끊이지 않았다. 프랑스 과학원은 이 문제를 풀기 위해 [1]에서 변하지 않는 기준을 찾았다. 이런 기준을 쓰면 어느 나라도 단위를 자의적으로 바꿀 수 없고, 누구나 같은 크기를 [2]할 수 있다.",프랑스 과학원은 나라마다 다른 단위가 낳은 분쟁을 자연에서 찾은 기준으로 풀려 했어요. 자연에 근거한 기준은 누구나 같은 크기로 다시 만들어 낼 수 있죠. 단위가 인류의 합의이면서도 자의적일 수 없는 까닭이 여기 있어요.
,,,A2,하,OX,"1미터는 빛이 진공에서 299,792,458분의 1초 동안 나아가는 거리로 정의되므로, 똑같은 미터를 다시 만들어 내려면 국제 도량형국에 보관된 기준 자를 참조해야 한다.",X,,O,X,,,,,-,미터는 빛의 속도라는 자연의 기본 상수에 연결되어 있어요. 그래서 세계 어느 실험실에서든 자를 꺼낼 필요 없이 똑같은 미터를 다시 만들어 낼 수 있죠. 기준이 물건이 아니라 자연에 있으면 보관하거나 옮길 필요가 없어요.
,,,A3,중,사지선다 (단수),2019년에 킬로그램의 정의를 다시 정한 까닭은 무엇인가요?,1,,국제 도량형국에 보관된 원기둥들의 질량이 서로 미세하게 달라졌기 때문이다,원기둥을 보관해 온 국제 도량형국의 금고가 사라졌기 때문이다,킬로그램이 일곱 개의 기본 단위에서 제외되었기 때문이다,킬로그램을 다른 기본 단위의 조합으로 표현할 수 있게 되었기 때문이다,,,-,절대적 기준이어야 할 원기둥의 질량이 서로 조금씩 달라진다는 사실이 밝혀졌어요. 그래서 킬로그램은 플랑크 상수라는 자연의 기본 상수에 연결되도록 다시 정의됐어요. 자연의 법칙이 변하지 않는 한 킬로그램도 변하지 않죠.
,,,A4,중-상,순서배열,다음 문장은 단위의 기준이 정해져 온 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,다-가-라-나,,프랑스 과학원이 지구 자오선 길이의 4천만분의 1을 1미터로 정했다,2019년 기본 단위들이 자연의 기본 상수에 연결되도록 다시 정의되었다,"18세기 말 프랑스 혁명 직후, 유럽 각국이 제각각의 단위를 사용해 분쟁이 끊이지 않았다","국제단위계가 일곱 개의 기본 단위로 정리되어, 나머지 단위를 그 조합으로 표현하게 되었다",,,-,"나라마다 단위가 다르던 혼란이 자연에 근거한 1미터를 낳았어요. 그 정신을 이어받아 국제단위계가 일곱 개의 기본 단위로 정리됐고, 2019년에는 기본 단위들이 자연의 기본 상수에 연결되도록 다시 정의됐어요. 기준이 사람의 약속에서 자연 상수로 옮겨 온 흐름이에요."
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,과학적 표기법,,,,,,,,자연을 다루면 원자의 크기처럼 작은 수와 우주의 크기처럼 큰 수를 마주한다. 이런 수를 긴 숫자로 늘어놓으면 읽기도 어렵고 실수도 쉬워진다. 10의 거듭제곱을 사용해 아주 큰 수와 아주 작은 수를 간결하게 나타내는 방법을 ___ ___(이)라고 한다.,과학적 표기법은 10의 거듭제곱으로 아주 큰 수와 아주 작은 수를 간결하게 적는 방법이에요. 자연을 다루면 일상을 훨씬 벗어나는 수를 만나게 되죠. 단위 앞에 붙는 접두어도 같은 장치를 한 단어로 압축한 것이에요.
,,,A6,중,사지선다 (복수),국제단위계의 구성에 대한 설명으로 옳은 것을 모두 고르세요.,1,2,온도의 켈빈과 물질량의 몰은 일곱 개의 기본 단위에 속한다,"힘의 뉴턴은 킬로그램과 미터, 초를 조합해 표현된다","농도와 에너지, 압력은 서로 독립된 단위 체계로 표현된다",일곱 개의 기본 단위는 서로의 조합으로 표현할 수 있다,,,-,"일곱 개의 기본 단위는 미터, 킬로그램, 초, 암페어, 켈빈, 몰, 칸델라예요. 나머지 단위는 모두 이 일곱 개의 조합으로 표현되고, 뉴턴은 킬로그램에 미터를 곱하고 초 제곱으로 나눈 것이에요. 그래서 달라 보이는 양들도 한 체계 안에서 연결돼요."
,,,A7,중-상,순서배열,다음 문장은 1999년 나사의 화성 기후 탐사선이 소실된 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,나-라-가-다,,화성 기후 탐사선이 화성 대기에 진입하는 과정에서 소실되었다,"탐사선을 준비한 한 팀은 미터법 단위를, 다른 팀은 영국식 단위를 사용했다",탐사선이 사라진 원인은 조사에서 단위 오류로 밝혀졌다,미터법 단위로 한 계산과 영국식 단위로 한 계산이 아무런 변환 없이 섞였다,,,-,"한쪽은 미터법으로, 다른 쪽은 영국식 단위로 계산했고 두 결과가 변환 없이 섞였어요. 막대한 비용과 시간이 들어간 탐사선이 단위 하나 때문에 사라진 것이에요. 단위가 정확하지 않으면 과학이 성립하지 않는다는 말을 잘 보여 주죠."
,,,B1,하,인라인,국제단위계의 구조를 설명한 것입니다. 빈칸에 들어갈 말을 고르세요.,1,1,기본 단위/조합 단위/접두어,조합/평균/비교,,,,,"국제단위계는 길이의 미터, 질량의 킬로그램, 시간의 초를 포함한 일곱 개의 [1]로 이루어진다. 힘을 나타내는 뉴턴은 킬로그램에 미터를 곱하고 초 제곱으로 나눈 것이다. 이처럼 일곱 개를 [2]하면 나머지 단위를 모두 표현할 수 있다.","일곱 개의 기본 단위는 자연을 수로 표현하는 가장 기본적인 기준이에요. 힘의 뉴턴처럼 나머지 단위는 모두 이 일곱 개의 조합으로 표현돼요. 그래서 농도와 에너지, 압력처럼 달라 보이는 양들도 하나의 체계 안에서 연결돼요."
,,,B2,하,OX,"나라마다 단위가 달라 분쟁이 끊이지 않던 18세기 말, 프랑스 과학원은 지구 자오선 길이의 4천만분의 1을 1미터로 정했다.",O,,O,X,,,,,-,맞아요. 프랑스 과학원은 누구나 다시 확인할 수 있는 기준을 자연에서 찾으려 했어요. 지구 자오선 길이의 4천만분의 1이라는 기준은 어느 나라도 마음대로 바꿀 수 없다는 점에서 선택된 것이에요.
,,,B3,중,사지선다 (단수),"킬로미터, 밀리그램, 나노초처럼 단위 앞에 붙는 접두어가 하는 일은 무엇인가요?",1,,10의 거듭제곱을 한 단어로 압축해 규모를 표시한다,측정값에 들어 있는 오차의 범위를 함께 나타낸다,일곱 개의 기본 단위에 새로운 기본 단위를 더해 준다,단위의 크기를 자연의 기본 상수에 연결해 준다,,,-,접두어는 10의 거듭제곱을 한 단어로 압축한 장치예요. 그래서 원자만큼 작은 세계부터 우주만큼 큰 세계까지 같은 단위로 이어 쓸 수 있어요. 지수는 계산을 위한 기호가 아니라 규모를 읽는 언어인 셈이에요.
