분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,1-1) 시간과 공간의 본질,A. 특수 상대성 이론,A1,하,인라인,특수 상대성 이론의 전제와 결론을 정리한 설명입니다. 빈칸에 들어갈 말을 고르세요.,1,1,항상 같은 값으로 측정된다/관측자가 빠를수록 크게 측정된다/관측자가 빠를수록 작게 측정된다,시간 팽창/길이 수축/동시성의 상대성,,,,,"빛의 속도는 관측자의 운동 상태와 관계없이 [1]. 이 전제를 받아들이면, 정지한 관측자가 볼 때 빠르게 움직이는 물체의 시간은 더 느리게 흐르는데, 이를 [2](이)라고 한다.",빛의 속도는 누가 어떤 속도로 재도 같은 값으로 측정돼요. 이 기준을 지키기 위해 시간과 공간의 측정이 관측자에 따라 달라져요. 정지한 관측자 기준에서 빠르게 움직이는 물체의 시간이 더 느리게 흐르는 것을 시간 팽창이라고 해요.
,,,A2,하,OX,"GPS 위성의 시간은 지구의 시간과 같은 속도로 흐르기 때문에, 위치를 계산할 때 상대성 이론에 따른 보정이 필요하지 않다.",X,,O,X,,,,,-,GPS 위성의 시간은 지구의 시간과 미세하게 다른 속도로 흘러요. 이 차이를 상대성 이론으로 보정하지 않으면 하루에 수 킬로미터의 위치 오차가 쌓여요.
,,,A3,중,사지선다 (단수),"기차역의 기준계에서 서로 떨어진 두 지점에 번개가 동시에 칩니다. 같은 두 번개를 기차역 옆을 빠르게 지나가는 기차의 기준계에서 측정할 때, 특수 상대성 이론에 따라 예상할 수 있는 결과는 무엇인가요?",1,,기차의 기준계에서는 두 번개가 동시에 치지 않은 것으로 측정될 수 있다.,두 번개가 동시에 쳤는지는 어느 기준계에서 측정해도 똑같이 나온다.,기차의 기준계에서는 빛의 속도가 더 느린 값으로 측정된다.,두 번개 중 기차에 더 가까운 쪽이 먼저 친 것으로 정해진다.,,,-,서로 떨어진 두 사건의 동시성은 관측자의 운동 상태에 따라 달라질 수 있어요. 이것을 동시성의 상대성이라고 해요. 빛의 속도가 누구에게나 같기 때문에 시간과 공간의 측정이 관측자마다 달라지는 거예요.
,,,A4,중-상,순서배열,다음 문장은 시간과 공간을 이해하는 관점이 달라져 온 과정을 나타냅니다. 사건이 일어난 순서대로 문장을 배열하세요.,다-나-라-가,,1905년 아인슈타인은 관측자의 운동 상태에 따라 시간과 공간의 측정이 달라질 수 있다고 설명했다.,19세기 말 과학자들은 빛을 전달한다고 여겨진 에테르의 존재를 확인하려 했다.,뉴턴 이래 200년 동안 공간의 크기는 변하지 않고 시간은 누구에게나 같은 속도로 흐른다고 여겨졌다.,1887년 마이컬슨과 몰리의 실험에서 빛의 속도가 방향에 따라 달라진다는 증거는 발견되지 않았다.,,,-,"뉴턴 이래 200년 동안 시간과 공간은 절대적인 것으로 여겨졌어요. 19세기 말에는 에테르를 확인하려는 실험이 이어졌지만, 1887년 마이컬슨과 몰리의 실험에서는 빛의 속도가 방향에 따라 달라진다는 증거가 나오지 않았어요. 1905년 아인슈타인은 변하는 것이 시간과 공간이라고 답했어요."
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,관성계,,,,,,,,아인슈타인은 등속으로 움직이는 모든 기준계에서 물리 법칙이 동일하게 적용된다고 설명했다. 서로에 대해 등속 직선 운동을 하며 물리 법칙이 같은 형태로 성립하는 이러한 기준계를 ___(이)라고 한다.,관성계는 서로에 대해 등속 직선 운동을 하는 기준계예요. 갈릴레이는 닫힌 선실 내부의 실험만으로는 정지 상태와 등속 운동 상태를 구별할 수 없다고 보았어요. 아인슈타인은 이 생각을 역학에서 물리 법칙 전체로 확장했어요.
,,,A6,중,사지선다 (복수),특수 상대성 이론이 출발점으로 삼은 전제를 모두 고르세요.,1,2,등속으로 움직이는 모든 기준계에서 물리 법칙은 동일하게 적용된다.,빛의 속도는 언제 어디서 측정해도 항상 같다.,우주에는 절대적으로 정지해 있는 기준점이 하나 존재한다.,빛을 전달하는 매질인 에테르가 우주를 가득 채우고 있다.,,,-,"특수 상대성 이론은 두 가지 전제에서 출발해요. 하나는 등속으로 움직이는 모든 기준계에서 물리 법칙이 똑같이 적용된다는 것이고, 다른 하나는 빛의 속도가 언제 어디서 재도 같다는 것이에요. 절대적으로 정지한 기준점이나 에테르는 이 이론에서 설 자리가 없어요."
,,,A7,중-상,순서배열,다음 문장은 대기 상층부에서 생성되는 뮤온에 대한 설명입니다. 원인과 결과가 자연스럽게 이어지도록 문장을 배열하세요.,나-라-가-다,,대기에서 생성된 뮤온은 빛에 가까운 속도로 지표면을 향해 이동한다.,우주에서 날아온 고에너지 입자가 대기 상층부의 공기 분자와 충돌한다.,지표면 기준에서 뮤온의 수명이 더 길게 측정되어 상당수가 지표면에 도달한다.,공기 분자와 충돌하는 과정에서 수명이 매우 짧은 뮤온이 생성된다.,,,-,우주에서 날아온 고에너지 입자가 공기 분자와 부딪히면서 뮤온이 생성돼요. 뮤온의 수명은 매우 짧아서 고전 물리학으로 계산하면 대부분 지표면에 닿기 전에 붕괴해야 해요. 지표면 기준에서는 빠르게 움직이는 뮤온의 수명이 더 길게 측정되기 때문에 상당수가 지표면까지 도달해요.
,,,B1,하,인라인,19세기 말의 가설과 1887년 실험 결과를 정리한 설명입니다. 빈칸에 들어갈 말을 고르세요.,1,2,에테르/플라스마/중력장,방향에 따라 달라졌다/방향에 따라 달라지지 않았다/계절에 따라 달라졌다,,,,,"빛이 파동이라면 그 파동을 전달하는 매질이 있어야 한다고 여겨졌고, 과학자들은 그 가상의 매질을 [1](이)라고 불렀다. 1887년 마이컬슨과 몰리는 방향을 달리하며 빛의 속도를 측정했고, 그 결과 빛의 속도는 [2].","19세기 말 과학자들은 빛을 전달한다고 여겨진 매질에 에테르라는 이름을 붙였어요. 에테르가 있다면 지구가 움직이는 방향에 따라 빛의 속도가 달라져야 했어요. 1887년 실험에서는 그런 차이가 나타나지 않았고, 이 결과가 시간과 공간에 대한 믿음을 흔들었어요."
,,,B2,하,OX,"정지한 관측자가 볼 때, 빠르게 움직이는 물체는 이동하는 방향으로 길이가 길어져 보인다.",X,,O,X,,,,,-,"정지한 관측자 기준에서는 빠르게 움직이는 물체의 길이가 이동하는 방향으로 짧아져 보여요. 이 현상을 길이 수축이라고 해요. 시간 팽창과 함께, 빛의 속도가 언제나 같다는 전제에서 따라 나오는 결론이에요."
,,,B3,중,사지선다 (단수),태양은 매초 막대한 양의 질량을 에너지로 바꾸며 빛나고 있습니다. 이 현상을 설명하는 근거로 알맞은 것은 무엇인가요?,1,,질량과 에너지가 깊이 연결되어 있어 작은 질량도 막대한 에너지가 되기 때문이다.,질량과 에너지가 서로 별개여서 태양이 에너지만 따로 만들어 내기 때문이다.,태양의 시간이 지구보다 느리게 흘러 에너지가 오래 쌓이기 때문이다.,태양 근처에서 빛의 속도가 더 빨라져 에너지가 커지기 때문이다.,,,-,E=mc²는 질량과 에너지가 별개가 아니라 깊이 연결되어 있음을 보여줘요. c의 제곱이 매우 큰 값이라서 아주 작은 질량도 막대한 에너지가 돼요. 태양은 매초 약 400만 톤의 질량을 에너지로 바꾸며 빛나고 있어요.
,,,B4,중-상,순서배열,다음 문장은 특수 상대성 이론이 출발하게 된 생각의 전개를 나타냅니다. 설명의 흐름에 맞게 문장을 배열하세요.,나-라-가-다,,"등속으로 움직이는 모든 관성계에서 물리 법칙이 같은 형태로 성립하면, 절대적으로 정지해 있는 기준점은 어디에도 없다.",갈릴레이는 닫힌 선실 내부의 실험만으로는 정지 상태와 등속 직선 운동 상태를 구별할 수 없다고 설명했다.,아인슈타인은 절대적인 기준점이 없는 우주에서 빛의 속도가 언제 어디서 측정해도 같다는 전제를 세웠다.,아인슈타인은 갈릴레이의 상대성 원리를 역학에서 물리 법칙 전체로 확장했다.,,,-,"갈릴레이는 닫힌 선실 안에서는 정지 상태와 등속 운동 상태를 구별할 수 없다고 보았어요. 아인슈타인은 이 원리를 모든 물리 법칙으로 넓혔고, 그래서 절대적으로 정지한 기준점은 어디에도 없다는 결론에 이르렀어요. 기준이 사라진 우주에서 아인슈타인이 새로 세운 기준이 바로 빛의 속도였어요."
,,,B5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,동시성의 상대성,,,,,,,,"기차역의 기준계에서 서로 떨어진 두 지점에 번개가 같은 시각에 쳐도, 빠르게 지나가는 기차의 기준계에서는 두 사건이 서로 다른 시각에 일어난 것으로 측정될 수 있다. 이처럼 두 사건이 같은 시각에 일어났는지가 관측자의 운동 상태에 따라 달라지는 것을 ____ ___(이)라고 한다.",서로 떨어진 두 사건이 같은 시각에 일어났는지는 관측자의 운동 상태에 따라 달라질 수 있어요. 이것을 동시성의 상대성이라고 해요. 빛의 속도라는 공통 기준을 지키기 위해 시간과 공간의 측정이 함께 달라지는 거예요.
,,,B6,중,사지선다 (복수),특수 상대성 이론의 예측이 실제 관측으로 확인된 사례를 모두 고르세요.,1,2,가속기 안에서 빛에 가까운 속도로 달리는 입자들이 더 오래 존재한다.,대기 상층부에서 생성된 뮤온 상당수가 지표면까지 도달한다.,태양에서 출발한 빛이 지구까지 오는 데 약 8분이 걸린다.,서로 다른 속도로 움직이는 두 관측자가 빛의 속도를 다르게 측정한다.,,,-,가속기 속 입자와 대기에서 생성된 뮤온은 모두 시간 팽창이 실제로 일어난다는 것을 보여줘요. 지표면 기준에서는 빠르게 움직이는 입자의 수명이 더 길게 측정돼요. 빛의 속도는 어느 관측자가 재도 같은 값으로 나와요.
,,,B7,중-상,순서배열,다음 문장은 GPS 위성의 시간을 보정해야 하는 이유를 설명한 것입니다. 설명의 흐름에 맞게 문장을 배열하세요.,다-가-라-나,,정지한 관측자가 볼 때 빠르게 움직이는 물체의 시간은 더 느리게 흐른다.,GPS 위성과 지구의 시간 차이를 상대성 이론으로 보정하지 않으면 하루에 수 킬로미터의 위치 오차가 쌓인다.,빛의 속도가 모든 관측자에게 같은 값으로 측정되려면 시간과 공간의 측정이 관측자에 따라 달라져야 한다.,GPS 위성의 시간은 지구의 시간과 미세하게 다른 속도로 흐른다.,,,-,"빛의 속도가 누구에게나 같으려면 시간과 공간의 측정이 관측자에 따라 달라져야 해요. 그래서 빠르게 움직이는 물체의 시간은 더 느리게 흘러요. GPS 위성의 시간도 지구와 미세하게 달라서, 보정하지 않으면 하루에 수 킬로미터의 위치 오차가 쌓여요."
