분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
천문,1-2) 우주의 탄생,B. 우주론,1,하,인라인,1998년에 이루어진 초신성 관측의 결과를 정리한 설명입니다. 빈칸에 들어갈 말을 고르세요.,2,3,감속 팽창/가속 팽창/정지 상태,암흑 물질/보통 물질/암흑 에너지,,,,,"1998년, 두 연구팀은 우주의 팽창이 얼마나 느려지는지 측정하려 했다. 그런데 관측 결과는 정반대였고, 우주가 점점 더 빨리 팽창하는 [1]이(가) 확인되었다. 이 가속을 끌고 가는 정체불명의 에너지를 [2](이)라고 부른다.",두 연구팀은 팽창이 느려지는 정도를 재려고 했지만 결과는 정반대였어요. 우주가 점점 더 빨리 팽창한다는 사실이 드러났죠. 그 가속을 끌고 가는 정체불명의 에너지에 암흑 에너지라는 이름이 붙었어요.
,,,2,하,OX,"암흑 에너지는 공간 곳곳에 존재하며, 팽창이 진행될수록 물질과 복사에 비해 상대적 비중이 작아진다.",X,,O,X,,,,,-,팽창이 진행될수록 암흑 에너지의 상대적 비중은 오히려 커져요. 암흑 에너지가 공간 곳곳에 존재하기 때문이에요. 그래서 물질과 복사에 비해 점점 더 큰 몫을 차지하게 돼요.
,,,3,중,사지선다 (단수),우주 상수에 대한 설명으로 알맞은 것을 고르세요.,2,,"우주의 팽창 속도를 나타내는 값으로, 측정 방법에 따라 다르게 나온다.","아인슈타인의 방정식에 있던 항으로, 암흑 에너지의 유력한 후보로 꼽힌다.",1998년 초신성 관측으로 존재가 직접 확인된 새로운 입자다.,암흑 에너지가 우주를 얼마나 강하게 밀어내는지 나타내는 숫자다.,,,-,우주 상수는 아인슈타인의 방정식에 들어 있던 항이에요. 한때 최대 실수로 알려졌지만 지금은 암흑 에너지의 유력한 후보로 다시 주목받고 있어요. 틀렸다고 여겨진 한 줄이 우주의 절반 이상을 설명하는 자리로 돌아온 셈이죠.
,,,4,중-상,순서배열,다음 문장은 허블 상수 측정에서 드러난 문제가 정리되는 과정을 설명한 것입니다. 설명의 흐름에 맞게 배열하세요.,다-나-라-가,,천문학자들은 허블 상수 값이 어긋나는 문제를 허블 텐션이라 부르며 새로운 물리학의 가능성을 제기했다.,우주의 팽창 속도를 나타내는 허블 상수가 측정 방법에 따라 다른 값으로 나왔다.,우주 배경 복사와 원소 비율이라는 두 증거를 토대로 빅뱅이 현대 우주론의 표준 모형으로 자리 잡았다.,측정 방법에 따른 허블 상수 값의 차이가 단순한 오차로 설명하기에는 너무 크다는 점이 분명해졌다.,,,-,"빅뱅의 뼈대는 두 증거로 확고해졌어요. 그런데 허블 상수는 측정 방법에 따라 다르게 나오고, 그 차이가 오차로 설명하기 어려울 만큼 커요. 이 문제를 허블 텐션이라고 불러요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,암흑 물질,,,,,,,,"우주 전체 에너지에서 암흑 에너지는 약 68퍼센트를 차지하고, 별과 행성을 이루는 보통 물질은 약 5퍼센트에 불과하다. 남은 약 27퍼센트를 채우면서 정체가 밝혀지지 않은 성분을 __ __(이)라고 한다.",우주 전체 에너지에서 암흑 물질은 약 27퍼센트를 차지해요. 암흑 에너지와 합치면 약 95퍼센트예요. 우주의 대부분이 이름만 있고 정체는 모르는 상태인 셈이죠.
,,,6,중,사지선다 (복수),암흑 에너지의 상태 방정식 w와 우주의 먼 미래에 대한 설명으로 알맞은 것을 모두 고르세요.,1,3,w가 정확히 -1이면 암흑 에너지는 지금처럼 일정하게 작용한다.,w가 -1보다 작으면 암흑 에너지의 밀어내는 힘이 시간이 갈수록 약해진다.,w가 -1보다 크면서 시간이 갈수록 약해지면 우주가 줄어들 가능성이 있다.,w 값은 우주가 닫힌 우주인지 열린 우주인지를 결정한다.,,,-,"w는 암흑 에너지가 우주를 얼마나 강하게 밀어내는지 나타내는 값이에요. -1이면 빅 프리즈, -1보다 작으면 빅 립으로 향해요. -1보다 크면서 약해지면 중력이 다시 이겨 빅 크런치가 될 수도 있어요."
,,,7,중-상,순서배열,다음 문장은 빅 립 시나리오에서 우주에 일어나는 일을 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-가-라-나,,우주의 팽창이 폭주하면서 공간이 점점 더 빠르게 늘어난다.,물질을 이루는 원자의 결합마저 남지 않고 갈라진다.,암흑 에너지의 상태 방정식 w가 -1보다 작아 밀어내는 힘이 점점 강해진다.,중력으로 묶여 있던 은하가 찢어지고 항성계가 흩어진다.,,,-,빅 립은 암흑 에너지가 시간이 갈수록 강해질 때 그려지는 결말이에요. 팽창이 폭주하면 느슨하게 묶인 큰 구조부터 풀려요. 은하와 항성계를 지나 원자의 결합까지 갈라질 수 있어요.
물리,2-2) 별의 구조와 에너지,A. 별의 내부 구조와 물리,1,하,인라인,태양이 에너지를 생성하는 방식과 반응 속도를 설명한 글입니다. 빈칸에 들어갈 말을 각각 고르세요.,1,1,질량/전하/부피,느리기/빠르기/불규칙하기,,,,,"태양 중심에서 수소 원자핵 네 개가 헬륨 원자핵 하나로 바뀔 때, 줄어든 [1]이(가) 에너지로 바뀐다. 양성자 하나가 이 반응에 참여하기까지 평균 약 90억 년이 걸릴 만큼 반응이 [2] 때문에, 태양은 오랜 시간 안정적으로 빛난다.",핵융합에서 줄어든 질량은 사라지지 않고 에너지로 바뀌어요. 반응이 워낙 느려서 연료가 천천히 소진되기 때문에 태양은 약 100억 년 동안 빛날 수 있어요.
,,,2,하,OX,에딩턴은 중력 수축만으로는 태양의 긴 수명과 광도를 설명하기 어렵다고 보았다.,O,,O,X,,,,,-,"에딩턴은 1920년에 별의 에너지가 수소가 헬륨으로 바뀌는 과정에서 나올 수 있다고 제안했어요. 당시에는 반신반의하는 분위기였지만, 1930년대 말 핵물리학이 발전하면서 그 방향이 옳았다는 것이 드러났어요."
,,,3,중,사지선다 (단수),태양의 핵에서 방출된 중성미자는 지구까지 거의 곧장 날아옵니다. 그 까닭은 무엇인가요?,1,,전하가 없고 물질과 거의 반응하지 않기 때문이다,태양 표면에서 생성되어 곧바로 방출되기 때문이다,빛보다 훨씬 빠른 속도로 이동하는 입자이기 때문이다,태양 내부의 자기장에 밀려 빠르게 튕겨 나오기 때문이다,,,-,중성미자는 전하가 없고 물질과 거의 반응하지 않아요. 그래서 태양 내부의 빽빽한 입자들 사이를 그대로 통과해 지구까지 날아오죠. 표면까지 수만 년이 걸리는 빛과는 사정이 아주 달라요.
