,대단원,중단원,소단원,로그라인 (핵심 질문 / 한 줄 스토리),분과,,,
,"프롤로그
 과학이란 무엇인가 — 자연을 읽는 언어",P-1) 과학적 사고란 무엇인가,A. 자연과학 소개,관찰·가설·검증·수정. 반증 가능성이 과학을 강하게 만든다.,물리,물리학 소개,,
,,,B. 과학 연구의 목표,과학은 무엇을 묻고 어떻게 답하는가.,화학,화학 연구의 목표,,화학은 무엇을 묻고 어떻게 답하는가.
,,P-2) 단위와 측정,A. 단위,자연을 수로 표현하기 위한 인류의 약속 — SI 단위계.,물리,,,
,,,B. 과학 연구의 측정,유효숫자·오차·정밀도 — 정확한 측정이 과학의 신뢰를 만든다.,화학,화학 연구의 측정,,
,,P-3) 수학 — 자연의 언어,수리물리,벡터·미적분·미분방정식 — 자연의 패턴을 압축하는 언어.,물리,,,
,"1.
 빅뱅 — 우주의 시작",1-1) 시간과 공간의 본질,A. 특수 상대성 이론,시간과 공간은 절대적이지 않다. 빛의 속도는 불변이지만 나머지는 모두 상대적이다.,물리,,, 
,,,B. 일반 상대성 이론,"중력은 서로 당기는 힘이 아니다. 질량이 시공간을 휘게 하고, 모든 것은 그 휘어짐을 따라 움직일 뿐이다.",물리,,,
,,1-2) 우주의 탄생,A. 표준 우주 모형,빅뱅부터 현재까지의 우주 진화 — 138억 년의 압축.,천문,,,
,,,B. 우주론,우주는 어떤 역사를 걸어왔는가. 팽창·냉각·구조 형성.,천문,,,
,,1-3) 우주의 구성과 구조,A. 우주의 구성 성분,"보통 물질 5%, 암흑물질 27%, 암흑에너지 68% — 보이지 않는 것들이 우주를 지배한다.",천문,,,
,,,B. 우주의 3차원 구조,은하·은하단·초은하단이 이루는 우주 거대 구조의 지도.,천문,,,
,,1-4) 우주를 어떻게 보는가,A. 구면 천문학,하늘에 좌표계를 그리다. 천문 관측의 기하학적 기반.,천문,,,
,,,B. 측광과 분광,별빛 속에 숨은 정보를 꺼내는 방법 — 밝기와 스펙트럼.,천문,,,
,,,C. 관측기기,망원경에서 우주망원경까지 — 인류의 눈이 확장되는 역사.,천문,,,
,,1-5) 은하의 세계,A. 우리은하와 외부은하,우리가 사는 은하의 구조와 그 너머 은하들의 세계.,천문,,,
,,,B. 은하의 다양한 모습과 특성,나선·타원·불규칙 은하 — 왜 이렇게 다양한 형태인가.,천문,,,
,,,C. 은하의 형성과 진화,은하는 어떻게 탄생하고 수십억 년에 걸쳐 성장해왔는가.,천문,,,
,"2.
 별 — 원소를 만드는 공장",2-1) 별의 탄생,성간 물질과 별의 형성,성간 가스·먼지 구름이 중력 수축으로 원시별이 되는 과정. 질량이 운명을 결정한다.,천문,,,
,,2-2) 별의 구조와 에너지,A. 별의 내부 구조와 물리,핵융합 압력과 중력의 균형 — 이 정교한 평형이 별을 수십억 년 빛나게 한다.,물리,,,
,,,B. 별의 관측,H-R도·광도·색지수 — 별빛을 분석해 온도·질량·거리를 알아내는 방법.,천문,,,
,,2-3) 별의 일생과 원소 합성,A. 별의 진화,주계열성→적색 거성→초신성→블랙홀/중성자별/백색 왜성. 원소 합성의 역사.,천문,,,
,,,B. 핵물리,원자핵의 구조와 핵융합·핵분열 반응. 별 내부 원소 합성의 물리적 원리.,물리,,,
,,2-4) 태양 — 가장 가까운 별,태양 — 가장 가까운 별,태양풍·흑점·코로나 — 태양의 활동이 지구에 미치는 영향.,천문,,,
,,2-5) 극한의 별 — 입자의 세계,입자물리,쿼크·렙톤·보손 — 물질의 궁극 구성 요소. 표준 모형.,물리,,,
,"3.
 물질 — 원자가 만드는 세계",3-1) 원자의 내부,A. 원자,핵과 전자로 이루어진 원자. 전자의 자리는 위치가 아니라 확률,화학,,,
,,,B. 양자물리,전자는 확률 파동이다. 양자역학이 밝힌 원자의 실제 구조와 에너지 준위.,물리,,,
,,3-2) 원소의 지도 — 주기율표,A. 원소의 주기적 성질,전자 배열이 만드는 주기적 패턴. 이온화 에너지·전기음성도의 경향성.,화학,,,
,,,B. 비금속,생명과 환경을 구성하는 비금속 원소들 — 탄소·산소·질소·황의 세계.,화학,,,
,,,C. 전이 금속,색깔·촉매·도구 — 전이 금속이 문명과 생명에서 하는 역할.,화학,,,
,,3-3) 원자의 결합 — 분자의 탄생,A. 분자,원자들이 결합해 분자가 된다. 분자식과 구조식.,화학,,,
,,,B. 결합 법칙,어떤 원자가 얼마나 어떻게 결합하는가의 규칙 — 루이스 구조.,화학,,,
,,,C. 결합의 극성,전기음성도 차이가 만드는 극성 결합. 분자의 쌍극자 모멘트.,화학,,,
,,,D. 결합 구조,분자의 3차원 모양이 그 성질을 결정한다 — VSEPR·혼성오비탈.,화학,,,
,,3-4) 물질의 상태와 분류,A. 물질의 분류,"순물질과 혼합물, 원소와 화합물 — 물질 세계의 분류 체계.",화학,,,
,,,B. 물질의 상태,같은 물질이 온도·압력에 따라 고체·액체·기체가 되는 이유.,화학,,,3-4)_C_화합물 명명법 - 삭제
,,3-5) 물질의 집합,응집 물질 물리,원자 집합체에서 창발하는 새로운 성질. 도체·반도체·절연체·초전도체.,물리,,,
,,3-6) 화학식량과 측정,A. 반응식,화학 반응을 기호와 수식으로 표현하고 균형을 맞추는 방법.,화학,,,
,,,B. 화학식량,몰(mol) — 보이지 않는 원자를 세는 인류의 방법.,화학,,,
,"4.
 힘과 에너지 — 변화의 법칙",4-1) 운동과 힘,A. 동역학,뉴턴 역학 3법칙. 힘·가속도·질량의 관계. 운동량 보존.,물리,,,4.5단원은 6단원 뒤로 이동
,,,B. 천체역학,중력이 지배하는 천체의 운동. 케플러 법칙 — 행성이 타원 궤도를 도는 이유.,천문,,,
,,4-2) 유체의 흐름,유체역학,베르누이 원리·점성·난류. 대기·해류·혈류가 모두 이 법칙 위에 있다.,물리,,,
