분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
화학,3-2) 원소의 지도 — 주기율표,C. 전이 금속,A1,하,인라인,전이 금속의 특징을 설명한 문장입니다. 빈칸에 알맞은 말을 고르세요.,2,1,s/d/f,촉매/용매/전해질,,,,,전이 금속은 주기율표의 가운데에 자리하며 [1] 오비탈에 전자가 들어 있다. 이 원소들은 화학 반응의 진행을 돕는 [2](으)로 자주 쓰인다.,전이 금속을 다른 원소와 구별해 주는 특징은 d 오비탈에 전자가 들어 있다는 점이에요. 전이 금속은 산소를 실어 나르는 일부터 화학 반응을 가속하는 일까지 폭넓게 관여해요. 반응의 진행을 돕는 이런 역할을 촉매라고 불러요.
,,,A2,하,OX,전이 금속 가운데 철까지는 큰 별의 일생 후반에 일어나는 핵융합 반응으로 생성되었다.,O,,O,X,,,,,-,"철까지는 큰 별이 일생 후반에 일으키는 핵융합 반응으로 생성돼요. 철보다 무거운 구리나 아연, 은, 금은 늙은 별의 느린 중성자 포획이나 초신성 폭발, 중성자별 충돌 같은 격렬한 사건을 거쳐 생성돼요. 우리 몸속 전이 금속은 모두 별이 남긴 원소예요."
,,,A3,중,사지선다 (단수),"같은 전이 금속이 +2, +3, +4처럼 여러 산화 상태를 오갈 수 있는 까닭은 무엇인가요?",1,,d 오비탈의 전자가 화학 결합에 참여하기도 하고 빠지기도 하기 때문이다,원자핵 속 양성자의 수가 반응 조건에 따라 달라지기 때문이다,s 오비탈이 비어 있어 전자가 들어갈 자리가 남아 있기 때문이다,비금속처럼 정해진 결합 방식을 그대로 지키기 때문이다,,,-,"전이 금속의 유연함은 d 오비탈에서 나와요. d 오비탈의 전자는 화학 결합에 참여하기도 하고 빠지기도 해서, 같은 금속이 여러 산화 상태를 오갈 수 있어요. 반응 조건에 맞춰 상태를 바꿀 수 있으니 촉매로 쓰기에 유리해요."
,,,A4,중-상,순서배열,다음 문장은 인류가 전이 금속을 다루어 온 과정을 나타냅니다. 사건이 일어난 순서대로 배열하세요.,나-라-가-다,,르네상스 시대의 화가들이 아주라이트 같은 구리 화합물로 그림의 푸른빛을 냈다,메소포타미아 일대에서 구리와 주석의 합금인 청동을 다루는 기술이 등장했다,"현대의 자동차에 백금과 팔라듐, 로듐이 들어 있는 배기가스 저감 장치가 쓰였다",철광석에서 불순물을 걸러 철을 얻는 기술이 퍼지며 철기 시대가 열렸다,,,-,"청동기 시대는 약 5,300년 전, 철기 시대는 약 3,200년 전에 시작됐어요. 르네상스 시대의 푸른 안료와 현대의 배기가스 저감 장치는 그보다 훨씬 뒤의 일이에요. 인류 문명의 시대 구분은 그 시대 사람들이 어떤 금속을 다룰 수 있었는가라는 질문과 맞닿아 있어요."
,,,A5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,금속 결합,,,,,,,,전이 금속에서 원자들 사이를 자유롭게 이동하는 전자에는 s 전자뿐 아니라 일부 d 전자도 포함된다. 이 전자들은 금속 결정 전체에 걸쳐 퍼져 있다. 전자가 이렇게 퍼져 있는 금속에서 나타나는 결합을 __ __(이)라고 한다.,자유롭게 움직이는 전자가 결정 전체에 퍼져 원자들을 붙들고 있는 결합이 금속 결합이에요. 전이 금속에서는 s 전자뿐 아니라 일부 d 전자도 여기에 기여해요. 그래서 결정면이 미끄러져도 결합이 쉽게 끊어지지 않아요.
,,,A6,중,사지선다 (복수),전이 금속이 생체 분자에서 맡은 자리를 옳게 설명한 것을 모두 고르세요.,1,3,비타민 B12의 중심에는 코발트가 자리해 생명 활동을 뒷받침한다,광합성에서 물을 분해하는 광계 Ⅱ에는 아연 4개가 중심이 된 클러스터가 있다,세포호흡의 마지막 단계를 맡은 사이토크롬 c 산화효소에는 구리와 철이 나란히 자리한다,알코올 분해부터 DNA 복제까지 수백 가지 효소의 활성부위에는 망가니즈가 자리한다,,,-,"비타민 B12의 중심에는 코발트가, 사이토크롬 c 산화효소의 활성부위에는 구리와 철이 나란히 자리해요. 광계 Ⅱ에서 물을 분해하는 클러스터의 중심은 망가니즈 4개예요. 수백 가지 효소의 활성부위에 자리하는 것은 아연 이온이에요."
,,,A7,중-상,순서배열,다음 문장은 금속이 잘 깨지지 않는 이유를 설명한 것입니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-라-가-나,,결정면이 서로 미끄러져도 금속 결합이 쉽게 끊어지지 않는다,망치로 두드려도 깨지지 않고 원하는 모양으로 변형할 수 있다,전이 금속의 금속 결합에는 s 전자뿐 아니라 일부 d 전자도 기여한다,금속 결합에 기여하는 전자가 금속 결정 전체에 걸쳐 퍼져 있다,,,-,전이 금속의 금속 결합에는 s 전자뿐 아니라 일부 d 전자도 기여해요. 이 전자들이 금속 결정 전체에 퍼져 있어서 결정면이 미끄러져도 결합이 쉽게 끊어지지 않아요. 금속을 두드려 원하는 모양으로 만들 수 있는 것도 이 때문이에요.
,,,B1,하,인라인,동물이 산소를 운반하는 방식을 설명한 문장입니다. 빈칸에 알맞은 말을 고르세요.,1,2,철/구리/아연,아연/구리/코발트,,,,,포유동물의 적혈구 안에서 산소를 운반하는 단백질은 헤모글로빈이다. 헤모글로빈은 [1](을)를 하나씩 품은 헴 4개로 이루어져 있다. 문어와 게는 [2](을)를 중심에 둔 헤모사이아닌을 사용해 혈액이 푸른색을 띤다.,"포유동물은 철을 품은 헤모글로빈으로, 문어와 게는 구리를 품은 헤모사이아닌으로 산소를 옮겨요. 중심 금속이 다르면 혈액의 색도 달라져요. 같은 일을 서로 다른 전이 금속이 맡을 수 있다는 뜻이에요."
,,,B2,하,OX,전이 금속 화합물이 색을 띠는 것은 d 오비탈의 전자가 흡수한 빛이 그대로 우리 눈에 도달하기 때문이다.,X,,O,X,,,,,-,우리 눈에 도달하는 것은 흡수된 빛이 아니라 흡수되지 않고 남은 빛이에요. 부분적으로 채워진 d 오비탈의 전자가 가시광선 중 특정 파장을 흡수하며 다른 에너지 준위로 이동해요. 그래서 남은 빛의 색이 화합물의 색으로 보여요.
,,,B3,중,사지선다 (단수),시험관 속 용액이 분홍빛을 띠었습니다. 이 용액에 들어 있을 가능성이 높은 금속 이온은 무엇인가요?,2,,구리(Ⅱ) 이온,코발트(Ⅱ) 이온,철(Ⅲ) 이온,아연 이온,,,-,"용액의 색은 안에 어떤 금속 이온이 들어 있는지 알려 주는 단서예요. 짙푸른색이면 구리(Ⅱ) 이온, 분홍빛이면 코발트(Ⅱ) 이온, 노란빛이면 철(Ⅲ) 이온일 가능성이 높아요. 부분적으로 채워진 d 오비탈이 있어 전이 금속 화합물은 이렇게 다양한 색을 나타내요."
,,,B4,중-상,순서배열,다음 문장은 전이 금속 화합물이 색을 띠는 이유를 설명한 것입니다. 설명의 흐름에 맞게 배열하세요.,다-가-라-나,,d 오비탈의 전자가 가시광선 가운데 특정 파장의 빛을 흡수한다,흡수되지 않고 남은 빛만 우리 눈에 도달해 화합물의 색으로 나타난다,전이 금속의 d 오비탈은 전자로 부분적으로만 채워져 있다,빛을 흡수한 d 오비탈의 전자가 다른 에너지 준위로 이동한다,,,-,"전이 금속의 색은 d 오비탈이 전자로 부분적으로만 채워져 있어서 나타나요. 이 전자가 가시광선 중 특정 파장을 흡수하며 다른 에너지 준위로 이동해요. 우리 눈에 도달하는 것은 흡수되지 않고 남은 빛이라서, 화합물마다 다른 색으로 보여요."
,,,B5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,니트로게나제,,,,,,,,"콩과식물의 뿌리에는 공기 중의 질소를 고정하는 효소가 있고, 그 중심에 몰리브데넘이 자리한다. 이 질소고정 효소의 이름은 ______이다.",콩과식물의 뿌리에서 질소를 고정하는 효소가 니트로게나제예요. 그 중심에 자리한 몰리브데넘이 까다로운 질소고정 반응을 맡아요. 전이 금속은 이렇게 다른 원소만으로는 수행하기 어려운 반응을 담당해요.
